key,English,translation,review_status,reviewer,comments
center.title,Draft Recovery Center,ഡ്രാഫ്റ്റ് വീണ്ടെടുക്കൽ കേന്ദ്രം,Pending,,
center.subtitle,Find and resume your unfinished work.,പൂർത്തിയാകാത്ത ജോലി കണ്ടെത്തി തുടരുക.,Pending,,
center.description,Your saved drafts in {application}. Open a draft to review it before restoring.,{application}-ലെ സംരക്ഷിച്ച ഡ്രാഫ്റ്റുകൾ. പുനഃസ്ഥാപിക്കുന്നതിന് മുമ്പ് പരിശോധിക്കാൻ ഡ്രാഫ്റ്റ് തുറക്കുക.,Pending,,
center.refresh,Refresh drafts,ഡ്രാഫ്റ്റുകൾ പുതുക്കുക,Pending,,
center.storageOn,Draft storage is enabled by your tenant policy. Only service-acknowledged changes are recoverable.,ടെനന്റ് നയം ഡ്രാഫ്റ്റ് സംഭരണം അനുവദിക്കുന്നു. സേവനം സംരക്ഷിച്ചതായി സ്ഥിരീകരിച്ച മാറ്റങ്ങൾ മാത്രമേ വീണ്ടെടുക്കാനാകൂ.,Pending,,
center.retention,Retention: {days} days after the last draft save. Expired drafts are removed.,സൂക്ഷിക്കൽ: അവസാനമായി സംരക്ഷിച്ചതിന് ശേഷം {days} ദിവസം. കാലാവധി കഴിഞ്ഞ ഡ്രാഫ്റ്റുകൾ നീക്കം ചെയ്യും.,Pending,,
center.counts,Saved: {all} · Outdated: {outdated} · Unavailable: {unavailable},സംരക്ഷിച്ചത്: {all} · പഴയത്: {outdated} · ലഭ്യമല്ലാത്തത്: {unavailable},Pending,,
center.exclusions,Additional tenant exclusions: {fields}. Protected credential fields are always excluded.,ടെനന്റ് അധികമായി ഒഴിവാക്കുന്നത്: {fields}. സംരക്ഷിത ക്രെഡൻഷ്യൽ ഫീൽഡുകൾ എപ്പോഴും ഒഴിവാക്കും.,Pending,,
center.none,None,ഒന്നുമില്ല,Pending,,
center.search,Search by page or record ID,പേജ് അല്ലെങ്കിൽ രേഖാ ID ഉപയോഗിച്ച് തിരയുക,Pending,,
center.kind,Draft type,ഡ്രാഫ്റ്റ് തരം,Pending,,
center.status,Status,നില,Pending,,
center.allTypes,All draft types,എല്ലാ ഡ്രാഫ്റ്റ് തരങ്ങളും,Pending,,
center.allStatuses,All statuses,എല്ലാ നിലകളും,Pending,,
center.form,Form,ഫോം,Pending,,
center.import,Import mapping,ഇറക്കുമതി മാപ്പിംഗ്,Pending,,
center.approval,Approval comment,അംഗീകാര കുറിപ്പ്,Pending,,
center.ready,Ready to review,പരിശോധിക്കാൻ തയ്യാറാണ്,Pending,,
center.outdated,Source changed — review required,ഉറവിടം മാറി — പരിശോധന ആവശ്യമാണ്,Pending,,
center.unavailable,Access or record unavailable,പ്രവേശനമോ രേഖയോ ലഭ്യമല്ല,Pending,,
center.file-required,CSV file required,CSV ഫയൽ ആവശ്യമാണ്,Pending,,
center.loading,Loading drafts…,ഡ്രാഫ്റ്റുകൾ ലോഡ് ചെയ്യുന്നു…,Pending,,
center.empty,No saved drafts match these filters.,ഈ ഫിൽട്ടറുകളുമായി പൊരുത്തപ്പെടുന്ന ഡ്രാഫ്റ്റുകൾ ഇല്ല.,Pending,,
center.application,Application,ആപ്ലിക്കേഷൻ,Pending,,
center.record,Page / record,പേജ് / രേഖ,Pending,,
center.saved,Last saved,അവസാനം സംരക്ഷിച്ചത്,Pending,,
center.expiry,Expires,കാലാവധി,Pending,,
center.actions,Actions,പ്രവർത്തനങ്ങൾ,Pending,,
center.newRecord,New record,പുതിയ രേഖ,Pending,,
center.inbox,Approval inbox,അംഗീകാര ഇൻബോക്സ്,Pending,,
center.hidden,Record details hidden because access is unavailable,പ്രവേശനം ലഭ്യമല്ലാത്തതിനാൽ രേഖയുടെ വിവരങ്ങൾ മറച്ചിരിക്കുന്നു,Pending,,
center.open,Open draft,ഡ്രാഫ്റ്റ് തുറക്കുക,Pending,,
center.previous,Previous drafts,മുമ്പത്തെ ഡ്രാഫ്റ്റുകൾ,Pending,,
center.next,Next drafts,അടുത്ത ഡ്രാഫ്റ്റുകൾ,Pending,,
center.pageCount,{start}–{end} of {total},{total}-ൽ {start}–{end},Pending,,
center.hint,Opening never submits a record or approval. Reselect CSV files to restore mappings. Refresh if another window changed a draft. Each application has its own recovery center.,തുറക്കുന്നത് രേഖയോ അംഗീകാരമോ സമർപ്പിക്കില്ല. മാപ്പിംഗ് പുനഃസ്ഥാപിക്കാൻ CSV ഫയൽ വീണ്ടും തിരഞ്ഞെടുക്കുക. മറ്റൊരു വിൻഡോ ഡ്രാഫ്റ്റ് മാറ്റിയാൽ പുതുക്കുക. ഓരോ ആപ്ലിക്കേഷനും സ്വന്തം വീണ്ടെടുക്കൽ കേന്ദ്രമുണ്ട്.,Pending,,
center.gone,Draft is no longer available.,ഡ്രാഫ്റ്റ് ഇനി ലഭ്യമല്ല.,Pending,,
center.conflict,Draft changed. Refresh the recovery center.,ഡ്രാഫ്റ്റ് മാറി. വീണ്ടെടുക്കൽ കേന്ദ്രം പുതുക്കുക.,Pending,,
