key,English,translation,review_status,reviewer,comments
draft.available,A draft is available from {date}.,{date} की एक ड्राफ़्ट उपलब्ध है।,Pending,,
draft.saved,Draft saved: {date}.,ड्राफ़्ट सहेजा गया: {date}।,Pending,,
draft.restore,Restore draft,ड्राफ़्ट बहाल करें,Pending,,
draft.discard,Discard draft,ड्राफ़्ट हटाएँ,Pending,,
draft.outdated,The source changed after this draft. Review the current record or file before restoring. Saving still requires validation and version checks.,इस ड्राफ़्ट के बाद स्रोत बदल गया है। बहाल करने से पहले वर्तमान रिकॉर्ड या फ़ाइल की समीक्षा करें। सहेजने पर डेटा और संस्करण की जाँच होगी।,Pending,,
draft.incompatible,This draft uses an incompatible format. Discard it and start with the current page.,इस ड्राफ़्ट का प्रारूप संगत नहीं है। इसे हटाकर वर्तमान पृष्ठ से शुरू करें।,Pending,,
draft.reviewed,I reviewed the current source,मैंने वर्तमान स्रोत की समीक्षा की है,Pending,,
draft.excluded,Protected fields were excluded from this draft. Review those fields before saving.,सुरक्षित फ़ील्ड इस ड्राफ़्ट में शामिल नहीं हैं। सहेजने से पहले उनकी जाँच करें।,Pending,,
draft.disabled,Draft storage is disabled by your tenant administrator. Keep this window open until you save your work.,आपके टेनेंट व्यवस्थापक ने ड्राफ़्ट संग्रहण बंद किया है। काम सहेजने तक यह विंडो खुली रखें।,Pending,,
draft.loadLatest,Load latest draft settings,नवीनतम ड्राफ़्ट सेटिंग लोड करें,Pending,,
draft.policyTitle,Draft recovery policy,ड्राफ़्ट पुनर्प्राप्ति नीति,Pending,,
draft.policyHelp,"These rules apply to everyone in this tenant and application. Drafts are stored on the service, not in browser storage. Disabling storage deletes existing drafts. Shorter retention and new exclusions also apply to existing drafts.","ये नियम इस टेनेंट और एप्लिकेशन के सभी उपयोगकर्ताओं पर लागू हैं। ड्राफ़्ट सेवा पर सहेजे जाते हैं, ब्राउज़र में नहीं। संग्रहण बंद करने पर मौजूदा ड्राफ़्ट हटते हैं। कम प्रतिधारण अवधि और नए बहिष्करण भी मौजूदा ड्राफ़्ट पर लागू होते हैं।",Pending,,
draft.enabled,Store recovery drafts,पुनर्प्राप्ति ड्राफ़्ट सहेजें,Pending,,
draft.retention,Retention in days (1–30),"रखने की अवधि, दिनों में (1–30)",Pending,,
draft.exclusions,Excluded field names or paths,बाहर रखे गए फ़ील्ड के नाम या पथ,Pending,,
draft.exclusionHelp,"One field per line, for example email, comment or lines.notes. Names match at every depth; dotted paths target nested fields. Exclude comment to disable approval-comment storage.","हर पंक्ति में एक फ़ील्ड, जैसे email, comment या lines.notes। नाम सभी स्तरों पर लागू होते हैं; डॉट वाले पथ नेस्टेड फ़ील्ड के लिए हैं। अनुमोदन टिप्पणी का संग्रहण रोकने के लिए comment जोड़ें।",Pending,,
draft.protected,Always excluded: {fields}.,हमेशा बाहर रखे जाते हैं: {fields}।,Pending,,
draft.invalidPolicy,Use 1–30 whole days and valid field names or dotted paths (up to 100).,1–30 पूर्ण दिन और मान्य फ़ील्ड नाम या डॉट वाले पथ दर्ज करें (अधिकतम 100)।,Pending,,
draft.policySaved,Draft policy saved.,ड्राफ़्ट नीति सहेजी गई।,Pending,,
draft.savePolicy,Save draft policy,ड्राफ़्ट नीति सहेजें,Pending,,
draft.reselectFile,Choose the CSV file again. Restore becomes available when its column headers match the saved mapping. CSV contents are not stored in this draft.,CSV फ़ाइल फिर चुनें। कॉलम शीर्षक सहेजी गई मैपिंग से मिलने पर बहाल कर सकते हैं। CSV सामग्री इस ड्राफ़्ट में सहेजी नहीं जाती।,Pending,,
draft.policyConflict,Draft policy changed. Reload before saving.,ड्राफ़्ट नीति बदल गई। सहेजने से पहले फिर लोड करें।,Pending,,
draft.invalidRequest,Invalid draft request.,ड्राफ़्ट अनुरोध अमान्य है।,Pending,,
draft.pageDenied,Draft page is not available.,ड्राफ़्ट पृष्ठ उपलब्ध नहीं है।,Pending,,
