message_key,english,current_translation,reviewer,status,proposed_translation,notes
  :clear          clear the transcript,  :clear          clear the transcript,  :clear          प्रतिलेख साफ़ करें,,Pending,,
"  :fields <cmd>   show what would be captured, without sending","  :fields <cmd>   show what would be captured, without sending",  :fields <cmd>   भेजे बिना दर्ज होने वाली सामग्री दिखाएँ,,Pending,,
 ({count} set), ({count} set), (सेट: {count}),,Pending,,
ui.it.is.not.a.target.a.level.is.supported.by.the.work.that.40a707bf," It is not a target. A level is supported by the work that was clinically necessary and actually done — raising an element to reach a code is the thing this panel is meant to make visible, not easier. Office and outpatient levels are selected by medical decision making "," यह लक्ष्य नहीं है। स्तर वास्तव में किए गए चिकित्सकीय आवश्यक काम से समर्थित है। कोड पाने के लिए तत्व बढ़ाना यह पैनल उजागर करता है, आसान नहीं बनाता। कार्यालय और बाह्य रोगी स्तर चिकित्सा निर्णय से चुने जाते हैं ",,Pending,,
ui.recording.232c8b77, Recording, रिकॉर्डिंग,,Pending,,
ui.scope.of.this.screen.f2f37b23, Scope of this screen, इस स्क्रीन का दायरा,,Pending,,
ui.signed.in.as.c2f48eaa, Signed in as , साइन इन किया है ,,Pending,,
ui.ago.eb04b447, ago, पहले,,Pending,,
ui.captured.1d7aa182, captured, दर्ज,,Pending,,
ui.combinations.762b3ed3, combinations, संयोजन,,Pending,,
ui.configured.a3ed874e, configured, कॉन्फ़िगर किया,,Pending,,
ui.days.b1c50316, days, दिन,,Pending,,
ui.families.5b30f82d, families, परिवार,,Pending,,
ui.field.03adf842, field, फ़ील्ड,,Pending,,
ui.final.segment.49458c3b, final segment, अंतिम खंड,,Pending,,
ui.for.the.commands.available.on.this.page.ea20dc95, for the commands available on this page., इस पृष्ठ पर उपलब्ध कमांड के लिए।,,Pending,,
ui.gate.you.will.see.exactly.what.is.captured.before.anythi.26f5481b, gate. You will see exactly what is captured before anything is sent., । भेजने से पहले आप देखेंगे कि क्या दर्ज होगा।,,Pending,,
ui.is.resolved.server.side.at.dispatch.and.is.never.sent.to.0bc8d5de," is resolved server-side at dispatch and is never sent to a browser, so it cannot be read, replayed or edited from here — changing one is a server deployment."," भेजते समय सर्वर पर तय होता है और ब्राउज़र को नहीं भेजा जाता; यहाँ से पढ़ना, दोबारा चलाना या बदलना संभव नहीं। बदलाव के लिए सर्वर पर तैनाती चाहिए।",,Pending,,
ui.is.worth.showing.20.because.someone.chose.20.and.20.beca.91d7efba, is worth showing: 20 because someone chose 20 and 20 because nothing is configured look identical in the number alone., दिखाना उपयोगी है: चुना गया 20 और सेटिंग न होने से आया 20 केवल संख्या से एक जैसे दिखते हैं।,,Pending,,
ui.line.items.a742dc2d, line items • , पंक्ति वस्तुएँ • ,,Pending,,
ui.min.46e2a1c0, min · , मिनट · ,,Pending,,
ui.of.a4282e4b, of , में से ,,Pending,,
ui.open.dee82cf5, open, खुला,,Pending,,
ui.patient.03989434, patient, रोगी,,Pending,,
ui.redacted.4a081a65, redacted, गोपित,,Pending,,
ui.registered.1804af94, registered, पंजीकृत,,Pending,,
ui.required.1307c284, required, आवश्यक,,Pending,,
ui.required.sections.this.measures.whether.the.note.is.fill.d0f288bc," required sections. This measures whether the note is filled in, not whether it is clinically sufficient — and it is not a billing indicator."," आवश्यक अनुभाग। यह टिप्पणी भरी है या नहीं मापता है, नैदानिक पर्याप्तता नहीं; यह बिलिंग संकेतक भी नहीं है।",,Pending,,
ui.rows.dc601c4a, rows, पंक्तियाँ,,Pending,,
ui.sections.ordered.core.type.specialty.complaint.context.e.0417b2b5," sections, ordered core → type → specialty → complaint → context. Each names its layer.", अनुभाग: मूल → प्रकार → विशेषज्ञता → शिकायत → संदर्भ। प्रत्येक अपनी परत बताता है।,,Pending,,
ui.to.87721689, to , से ,,Pending,,
ui.to.find.out.whether.it.still.works.2a65988c, to find out whether it still works., यह जाँचने के लिए कि अभी काम करता है।,,Pending,,
ui.unavailable.so.a3f71a82," unavailable, so "," अनुपलब्ध, इसलिए ",,Pending,,
ui.unread.6048438c, unread, अपठित,,Pending,,
ui.will.look.empty.other.fields.are.unaffected.04f888e7, will look empty. Other fields are unaffected., खाली दिखेगा। दूसरे फ़ील्ड अप्रभावित हैं।,,Pending,,
ui.default.2a7e0b7b, · Default, · डिफ़ॉल्ट,,Pending,,
ui.audio.is.streamed.never.stored.the.transcript.is.not.sav.346210fe," · audio is streamed, never stored · the transcript is not saved until you use it"," · ऑडियो स्ट्रीम होता है, संग्रहित नहीं · उपयोग करने तक प्रतिलेख नहीं सहेजा जाता",,Pending,,
ui.mock.transport.d72848f2, · mock transport, · नमूना परिवहन,,Pending,,
ui.unverified.5987f7cb, · unverified, · असत्यापित,,Pending,,
ui.failing.at.call.time.would.turn.a.configuration.mistake.c05babfa, — failing at call time would turn a configuration mistake into an outage in the middle of a consultation., — कॉल के समय विफलता सेटिंग की गलती को परामर्श के बीच व्यवधान बना देगी।,,Pending,,
" — mock transport, nothing left this browser"," — mock transport, nothing left this browser"," — नमूना परिवहन, ब्राउज़र से कुछ बाहर नहीं गया",,Pending,,
