key,English,translation,review_status,reviewer,comments
template.library,Page Template Library,مكتبة قوالب الصفحات,Pending,,
template.choose,Choose a page for your application,اختر صفحة لتطبيقك,Pending,,
template.libraryHelp,"Explore reusable page designs, try layouts, and copy typed configuration and integration examples.",استكشف تصاميم الصفحات القابلة لإعادة الاستخدام وجرّب التخطيطات وانسخ أمثلة الإعداد والدمج.,Pending,,
template.templateCount,{count} templates,{count} قالباً,Pending,,
template.matchCount,{count} templates match,{count} قالباً مطابقاً,Pending,,
template.backLibrary,All page templates,كل قوالب الصفحات,Pending,,
template.searchTemplates,Search templates or applications,ابحث عن القوالب أو التطبيقات,Pending,,
template.groupLabel,Template group,مجموعة القوالب,Pending,,
template.all,All,الكل,Pending,,
template.explore,Open template,فتح القالب,Pending,,
template.preview,Preview,معاينة,Pending,,
template.typescript,TypeScript example,مثال TypeScript,Pending,,
template.configuration,Configuration,الإعدادات,Pending,,
template.guide,User and integration guide,دليل المستخدم والدمج,Pending,,
template.layout,Preview layout,تخطيط المعاينة,Pending,,
template.scenario,Preview state,حالة المعاينة,Pending,,
template.reset,Reset preview,إعادة ضبط المعاينة,Pending,,
template.localDemo,Sample data only. Changes stay in this preview; no application API is called.,بيانات تجريبية فقط. تبقى التغييرات في المعاينة دون استدعاء API للتطبيق.,Pending,,
template.codeHelp,"This example uses an in-memory adapter. Replace it with your application's authenticated, version-aware adapter.",يستخدم المثال محولاً في الذاكرة. استبدله بمحول تطبيقك الموثق الذي يتحقق من الإصدارات.,Pending,,
template.source,TypeScript source / configuration,مصدر TypeScript والإعدادات,Pending,,
template.purpose,Purpose,الغرض,Pending,,
template.components,Shared components,المكونات المشتركة,Pending,,
template.preferences,Preferences,التفضيلات,Pending,,
template.integration,Application integration,دمج التطبيق,Pending,,
template.scope,Data scope,نطاق البيانات,Pending,,
template.domainRules,Domain rules,قواعد المجال,Pending,,
template.componentHelp,"Pages reuse shared fields, cards, tables, calendars, overlays and recovery messages. Configuration supplies labels, sections and actions.",تعيد الصفحات استخدام الحقول والبطاقات والجداول والتقويمات والنوافذ ورسائل الاسترداد المشتركة. تحدد الإعدادات التسميات والأقسام والإجراءات.,Pending,,
template.preferenceHelp,"The application supplies theme, font, density, language, formatting and layout preferences. Preview controls do not change saved preferences.",يوفر التطبيق القالب والخط والكثافة واللغة والتنسيق والتخطيط. لا تغيّر أدوات المعاينة التفضيلات المحفوظة.,Pending,,
template.adapterHelp,"Connect load and save through a typed adapter. The server must enforce authorization, validation, versions and retry receipts.",اربط التحميل والحفظ بمحول محدد الأنواع. يجب أن يفرض الخادم الصلاحيات والتحقق والإصدارات وإيصالات إعادة المحاولة.,Pending,,
template.scopeHelp,"Keep tenant, application, user and record identities separate. Changing scope starts a new editor.",افصل هوية المستأجر والتطبيق والمستخدم والسجل. تغيير النطاق يبدأ محرراً جديداً.,Pending,,
template.domainHelp,"These are frontend templates. Clinical decisions, stock availability, tax, posting, real messages and scheduled execution require domain services.",هذه قوالب واجهة أمامية. القرارات السريرية والمخزون والضرائب والترحيل والرسائل والتنفيذ المجدول تتطلب خدمات المجال.,Pending,,
template.summary,Record summary,ملخص السجل,Pending,,
template.version,Record version,إصدار السجل,Pending,,
template.save,Save changes,حفظ التغييرات,Pending,,
template.saved,Changes saved.,تم حفظ التغييرات.,Pending,,
template.unsaved,Unsaved changes,تغييرات غير محفوظة,Pending,,
template.ready,Ready,جاهز,Pending,,
template.previous,Previous section,القسم السابق,Pending,,
template.next,Next section,القسم التالي,Pending,,
template.checklist,Checklist,قائمة التحقق,Pending,,
template.checkedCount,{count} of {total} checked,تم التحقق من {count} من {total},Pending,,
template.advance,Move to next stage,نقل إلى المرحلة التالية,Pending,,
template.measurements,Results and observations,النتائج والملاحظات,Pending,,
template.entries,Accounting entries,القيود المحاسبية,Pending,,
template.lineItems,Line items,البنود,Pending,,
template.addLine,Add line,إضافة بند,Pending,,
template.lineLabel,"{field}, row {index}",{field}، الصف {index},Pending,,
template.remove,Remove,إزالة,Pending,,
template.difference,Difference,الفرق,Pending,,
template.total,Total,الإجمالي,Pending,,
template.searchRecords,Search records,البحث في السجلات,Pending,,
template.completeSelected,Complete selected ({count}),إكمال المحدد ({count}),Pending,,
template.open,Open,فتح,Pending,,
template.recordDetails,Record details,تفاصيل السجل,Pending,,
template.available,Available,متاح,Pending,,
template.booked,Booked,محجوز,Pending,,
template.availableSlots,Available time slots,الفترات المتاحة,Pending,,
template.comparison,Comparison,مقارنة,Pending,,
template.from,From date,من تاريخ,Pending,,
template.to,To date,إلى تاريخ,Pending,,
template.runReport,Run report,تشغيل التقرير,Pending,,
template.records,Records,السجلات,Pending,,
template.average,Average,المتوسط,Pending,,
template.sampleOnly,Sample data only,بيانات تجريبية فقط,Pending,,
template.ledger,Ledger entries,قيود دفتر الأستاذ,Pending,,
template.statement,Statement entries,بنود الكشف,Pending,,
template.match,Match selected entries,مطابقة القيود المحددة,Pending,,
template.matchHelp,Select equal amounts from both sides to demonstrate matching. Production reconciliation needs independent ledger and bank data.,حدد مبالغ متساوية من الجانبين لتجربة المطابقة. تتطلب التسوية الفعلية بيانات مستقلة للدفتر والبنك.,Pending,,
template.configure,Configure,إعداد,Pending,,
template.review,Review,مراجعة,Pending,,
template.history,History,السجل,Pending,,
template.overview,Overview,نظرة عامة,Pending,,
template.related,Related records,السجلات المرتبطة,Pending,,
template.documents,Documents,المستندات,Pending,,
template.sampleDocument,Sample document,مستند تجريبي,Pending,,
template.view,View,عرض,Pending,,
template.edit,Edit,تحرير,Pending,,
template.approve,Approve,موافقة,Pending,,
template.staff,Staff,الموظفون,Pending,,
template.manager,Manager,المدير,Pending,,
template.administrator,Administrator,المسؤول,Pending,,
template.capacity,Capacity: {count},السعة: {count},Pending,,
template.selectResource,Select resource,اختيار المورد,Pending,,
template.resourceSchedule,Resource schedule,جدول الموارد,Pending,,
template.hierarchy,Hierarchy,التسلسل الهرمي,Pending,,
template.root,Root level,المستوى الجذري,Pending,,
template.importFlow,"Upload, map and review",رفع وربط ومراجعة,Pending,,
template.importHelp,"Upload a small CSV, map code and name, and review rows. Confirming changes only this preview.",ارفع CSV صغيراً واربط الرمز والاسم وراجع الصفوف. يؤثر التأكيد في المعاينة فقط.,Pending,,
template.chooseCsv,Choose CSV file,اختيار ملف CSV,Pending,,
template.invalidCsv,Choose a valid CSV with at most 500 rows and a size below 2 MB.,اختر CSV صالحاً بحد أقصى 500 صف وحجم أقل من 2 MB.,Pending,,
template.invalidRows,Map separate code and name columns. Every row needs values and a unique code.,اربط عمودين منفصلين للرمز والاسم. كل صف يحتاج قيماً ورمزاً فريداً.,Pending,,
template.step,Step {step},الخطوة {step},Pending,,
template.validate,Validate rows,التحقق من الصفوف,Pending,,
template.rowCount,{count} rows ready for review,{count} صفاً جاهزاً للمراجعة,Pending,,
template.confirmImport,Confirm local import,تأكيد الاستيراد المحلي,Pending,,
template.localImported,Rows added to this preview. No API import was performed.,أضيفت الصفوف إلى المعاينة. لم يتم استيراد عبر API.,Pending,,
template.conversation,Conversation,المحادثة,Pending,,
template.message,Message,الرسالة,Pending,,
template.addNote,Add local note,إضافة ملاحظة محلية,Pending,,
template.chooseDocument,Choose document,اختيار مستند,Pending,,
template.documentHelp,Only names and local notes are shown. Files are not uploaded and messages are not sent.,تُعرض الأسماء والملاحظات المحلية فقط. لا يتم رفع الملفات أو إرسال الرسائل.,Pending,,
template.reviewLatest,Review latest record,مراجعة أحدث سجل,Pending,,
template.replaceLocalHelp,Replace your unsaved values with the latest saved record? Your local changes will be discarded.,استبدال القيم غير المحفوظة بأحدث سجل؟ سيتم تجاهل التغييرات المحلية.,Pending,,
template.replaceLocal,Discard local changes and load,تجاهل التغييرات المحلية والتحميل,Pending,,
template.validation.required,Complete all required fields.,أكمل جميع الحقول المطلوبة.,Pending,,
template.validation.email,Enter a valid email address.,أدخل بريداً إلكترونياً صالحاً.,Pending,,
template.validation.number,Enter a valid nonnegative number.,أدخل رقماً صالحاً غير سالب.,Pending,,
template.validation.date,Check the start and end dates.,تحقق من تاريخي البداية والنهاية.,Pending,,
template.validation.time,End time must be after start time.,يجب أن يكون وقت النهاية بعد البداية.,Pending,,
template.validation.lines,Add valid lines with a description and nonnegative amounts.,أضف بنوداً صالحة بوصف ومبالغ غير سالبة.,Pending,,
template.validation.balance,Debits and credits must balance and be greater than zero.,يجب توازن المدين والدائن وأن يكون المجموع أكبر من صفر.,Pending,,
template.field.code,Code,الرمز,Pending,,
template.field.name,Name,الاسم,Pending,,
template.field.birthDate,Date of birth,تاريخ الميلاد,Pending,,
template.field.effectiveDate,Date,التاريخ,Pending,,
template.field.status,Status,الحالة,Pending,,
template.field.email,Email,البريد الإلكتروني,Pending,,
template.field.phone,Phone,الهاتف,Pending,,
template.field.address,Address,العنوان,Pending,,
template.field.city,City,المدينة,Pending,,
template.field.department,Department,القسم,Pending,,
template.field.owner,Owner,المسؤول,Pending,,
template.field.notes,Notes,ملاحظات,Pending,,
template.field.enabled,Enabled,مفعّل,Pending,,
template.field.party,Customer / supplier,العميل / المورد,Pending,,
template.field.dueDate,Due date,تاريخ الاستحقاق,Pending,,
template.field.resource,Resource,المورد,Pending,,
template.field.startTime,Start time,وقت البداية,Pending,,
template.field.endTime,End time,وقت النهاية,Pending,,
template.field.reason,Reason / request,السبب / الطلب,Pending,,
template.field.observations,Observations,الملاحظات,Pending,,
template.field.assessment,Assessment,التقييم,Pending,,
template.field.plan,Plan,الخطة,Pending,,
template.field.followUp,Follow-up date,تاريخ المتابعة,Pending,,
template.field.specimen,Specimen / sample,العينة,Pending,,
template.field.findings,Findings,النتائج,Pending,,
template.field.conclusion,Conclusion,الخلاصة,Pending,,
template.field.account,Account,الحساب,Pending,,
template.field.reference,Reference,المرجع,Pending,,
template.field.frequency,Frequency,التكرار,Pending,,
template.field.amount,Amount,المبلغ,Pending,,
template.field.description,Description,الوصف,Pending,,
template.field.quantity,Quantity,الكمية,Pending,,
template.field.price,Unit price,سعر الوحدة,Pending,,
template.field.debit,Debit,مدين,Pending,,
template.field.credit,Credit,دائن,Pending,,
template.field.result,Result,النتيجة,Pending,,
template.field.actions,Actions,الإجراءات,Pending,,
template.field.parent,Parent record,السجل الأصل,Pending,,
template.field.category,Category,الفئة,Pending,,
template.field.unit,Unit,الوحدة,Pending,,
template.field.barcode,Barcode,الباركود,Pending,,
template.field.subject,Source record,السجل المصدر,Pending,,
template.field.relationship,Relationship,العلاقة,Pending,,
template.field.target,Related record,السجل المرتبط,Pending,,
template.field.vehicle,Vehicle,المركبة,Pending,,
template.field.driver,Driver,السائق,Pending,,
template.field.origin,Origin,المغادرة,Pending,,
template.field.destination,Destination,الوجهة,Pending,,
template.field.priority,Priority,الأولوية,Pending,,
template.field.endpoint,API endpoint,عنوان API,Pending,,
template.field.mapping,Field mapping,ربط الحقول,Pending,,
template.field.payer,Payer,جهة الدفع,Pending,,
template.section.identity,Identity and status,الهوية والحالة,Pending,,
template.section.contact,Contact information,معلومات الاتصال,Pending,,
template.section.details,Additional details,تفاصيل إضافية,Pending,,
template.section.header,Transaction details,تفاصيل المعاملة,Pending,,
template.section.booking,Booking details,تفاصيل الحجز,Pending,,
template.section.assessment,Assessment and plan,التقييم والخطة,Pending,,
template.section.result,Result details,تفاصيل النتيجة,Pending,,
template.section.accounts,Account information,معلومات الحساب,Pending,,
template.section.configuration,Configuration,الإعدادات,Pending,,
template.status.active,Active,نشط,Pending,,
template.status.pending,Pending,قيد الانتظار,Pending,,
template.status.completed,Completed,مكتمل,Pending,,
template.status.requested,Requested,مطلوب,Pending,,
template.status.inProgress,In progress,قيد التنفيذ,Pending,,
template.status.review,Under review,قيد المراجعة,Pending,,
template.status.daily,Daily,يومياً,Pending,,
template.status.weekly,Weekly,أسبوعياً,Pending,,
template.status.monthly,Monthly,شهرياً,Pending,,
template.layout.preferences,Use my preferences,استخدام تفضيلاتي,Pending,,
template.layout.rail,Section navigation,تنقل الأقسام,Pending,,
template.layout.tabs,Tabbed layout,تخطيط التبويبات,Pending,,
template.layout.wizard,Guided steps,خطوات موجهة,Pending,,
template.scenario.ready,Working preview,معاينة عاملة,Pending,,
template.scenario.loading,Loading,جارٍ التحميل,Pending,,
template.scenario.empty,Empty,فارغ,Pending,,
template.scenario.denied,Access denied,الوصول مرفوض,Pending,,
template.scenario.readOnly,Read only,للقراءة فقط,Pending,,
template.scenario.failure,Recoverable save failure,فشل حفظ قابل للاسترداد,Pending,,
template.group.masters,Masters and profiles,السجلات الرئيسية والملفات,Pending,,
template.group.worklists,Lists and workspaces,القوائم ومساحات العمل,Pending,,
template.group.orders,Orders and requests,الطلبات,Pending,,
template.group.bookings,Bookings and allocation,الحجوزات والتخصيص,Pending,,
template.group.cases,Encounters and procedures,الزيارات والإجراءات,Pending,,
template.group.results,Results and assessments,النتائج والتقييمات,Pending,,
template.group.logistics,Inventory and logistics,المخزون والخدمات اللوجستية,Pending,,
template.group.finance,Accounting and billing,المحاسبة والفوترة,Pending,,
template.group.reports,Reports and dashboards,التقارير ولوحات المعلومات,Pending,,
template.group.entity,Entity overview and collaboration,نظرة شاملة والتعاون,Pending,,
template.group.administration,Administration and processing,الإدارة والمعالجة,Pending,,
template.help.masters,"Configure identity, sections, required fields and related information for your master records.",اضبط الهوية والأقسام والحقول المطلوبة والمعلومات المرتبطة بالسجلات الرئيسية.,Pending,,
template.help.worklists,"Find records, filter queues, review details and perform permitted individual or batch actions.",ابحث عن السجلات وصفّ القوائم وراجع التفاصيل ونفّذ الإجراءات المسموحة الفردية أو الجماعية.,Pending,,
template.help.orders,"Combine transaction details with editable lines, quantities, prices and order progress.",اجمع تفاصيل المعاملة مع البنود والكميات والأسعار وتقدم الطلب.,Pending,,
template.help.bookings,"Select dates, resources and time slots. Connect availability and conflict checks to your booking service.",اختر التواريخ والموارد والفترات. اربط الإتاحة وفحص التعارض بخدمة الحجز.,Pending,,
template.help.cases,"Keep identity, assessment, notes, checklists and history together throughout a case or encounter.",اجمع الهوية والتقييم والملاحظات وقوائم التحقق والسجل خلال الحالة أو الزيارة.,Pending,,
template.help.results,"Capture structured values or narrative findings, then connect domain validation and verification.",سجّل القيم المنظمة أو النتائج النصية ثم اربط التحقق المختص والمراجعة.,Pending,,
template.help.logistics,"Prepare movement details, items and operational status for inventory or transportation.",جهّز تفاصيل الحركة والبنود والحالة التشغيلية للمخزون أو النقل.,Pending,,
template.help.finance,"Use consistent financial entry, totals, matching and statement layouts. Posting rules belong to the accounting service.",استخدم إدخالاً مالياً وإجماليات ومطابقة وكشوفاً متسقة. قواعد الترحيل مسؤولية خدمة المحاسبة.,Pending,,
template.help.reports,"Filter data, review totals and compare results using shared reporting and dashboard components.",صفّ البيانات وراجع الإجماليات وقارن النتائج بمكونات التقارير ولوحات المعلومات المشتركة.,Pending,,
template.help.entity,"Bring profile, related records, history, documents and local collaboration into one workspace.",اجمع الملف والسجلات المرتبطة والتاريخ والمستندات والتعاون المحلي في مساحة واحدة.,Pending,,
template.help.administration,"Configure policies, permissions, processes and integration settings with review before saving.",اضبط السياسات والصلاحيات والعمليات والدمج مع المراجعة قبل الحفظ.,Pending,,
template.name.simple-master,Simple Master,سجل رئيسي بسيط,Pending,,
template.name.detailed-master,Detailed Master,سجل رئيسي مفصل,Pending,,
template.name.person-registration,Person Registration,تسجيل شخص,Pending,,
template.name.person-profile,Person Profile,ملف شخص,Pending,,
template.name.organization-profile,Organization Profile,ملف المؤسسة,Pending,,
template.name.item-service-master,Item / Service Master,سجل الأصناف والخدمات,Pending,,
template.name.hierarchical-master,Hierarchical Master,سجل رئيسي هرمي,Pending,,
template.name.relationship-master,Relationship Master,سجل العلاقات,Pending,,
template.name.configuration-master,Configuration Master,سجل الإعدادات,Pending,,
template.name.patient-master,Patient Master,سجل المرضى,Pending,,
template.name.employee-master,Employee Master,سجل الموظفين,Pending,,
template.name.customer-master,Customer Master,سجل العملاء,Pending,,
template.name.supplier-master,Supplier Master,سجل الموردين,Pending,,
template.name.student-master,Student Master,سجل الطلاب,Pending,,
template.name.master-list,Master List,قائمة السجلات الرئيسية,Pending,,
template.name.transaction-register,Transaction Register,سجل المعاملات,Pending,,
template.name.operational-worklist,Operational Worklist,قائمة العمل التشغيلية,Pending,,
template.name.assignment-queue,Assignment Queue,قائمة الإسناد,Pending,,
template.name.approval-inbox,Approval Inbox,صندوق الموافقات,Pending,,
template.name.exception-queue,Exception Queue,قائمة الاستثناءات,Pending,,
template.name.board-workspace,Board Workspace,مساحة عمل اللوحة,Pending,,
template.name.split-list-detail,Split List and Detail,قائمة وتفاصيل مقسمة,Pending,,
template.name.batch-processing,Batch Processing Workspace,مساحة المعالجة الجماعية,Pending,,
template.name.header-lines-order,Header and Line Items,رأس المعاملة والبنود,Pending,,
template.name.service-test-order,Service / Test Order,طلب خدمة أو فحص,Pending,,
template.name.quotation-estimate,Quotation / Estimate,عرض سعر أو تقدير,Pending,,
template.name.order-fulfillment,Order Fulfillment,تنفيذ الطلب,Pending,,
template.name.return-cancellation,Return / Cancellation,إرجاع أو إلغاء,Pending,,
template.name.order-comparison,Order Comparison,مقارنة الطلبات,Pending,,
template.name.recurring-order,Recurring Order Setup,إعداد الطلب المتكرر,Pending,,
template.name.purchase-order,Purchase Order,أمر شراء,Pending,,
template.name.sales-order,Sales Order,أمر بيع,Pending,,
template.name.lab-order,Laboratory Order,طلب مختبر,Pending,,
template.name.appointment,Appointment Booking,حجز موعد,Pending,,
template.name.calendar-workspace,Calendar Workspace,مساحة التقويم,Pending,,
template.name.resource-timeline,Resource Timeline,الجدول الزمني للموارد,Pending,,
template.name.occupancy-board,Capacity / Occupancy Board,لوحة السعة والإشغال,Pending,,
template.name.allocation-workspace,Allocation Workspace,مساحة التخصيص,Pending,,
template.name.roster-timetable,Roster / Timetable,جدول المناوبات أو الحصص,Pending,,
template.name.waitlist-check-in,Waitlist and Check-in,قائمة الانتظار وتسجيل الوصول,Pending,,
template.name.patient-encounter,Patient Encounter,زيارة المريض,Pending,,
template.name.service-case,Service / Support Case,حالة خدمة أو دعم,Pending,,
template.name.long-running-episode,Admission / Long-running Episode,دخول أو حالة ممتدة,Pending,,
template.name.procedure-planning,Procedure Planning,تخطيط الإجراء,Pending,,
template.name.surgery-workspace,Surgery Workspace,مساحة الجراحة,Pending,,
template.name.procedure-execution,Procedure Execution,تنفيذ الإجراء,Pending,,
template.name.checklist-workspace,Checklist Workspace,مساحة قوائم التحقق,Pending,,
template.name.discharge-closure,Discharge / Closure,خروج أو إغلاق,Pending,,
template.name.structured-result,Structured Result Entry,إدخال نتائج منظمة,Pending,,
template.name.lab-result,Laboratory Result,نتيجة المختبر,Pending,,
template.name.narrative-result,Narrative Result / Report,نتيجة أو تقرير نصي,Pending,,
template.name.observation-chart,Observation Chart,مخطط الملاحظات,Pending,,
template.name.assessment-scoring,Assessment / Scoring,تقييم أو تسجيل درجات,Pending,,
template.name.result-verification,Result Review and Verification,مراجعة النتائج والتحقق,Pending,,
template.name.result-comparison,Result Comparison,مقارنة النتائج,Pending,,
template.name.certificate-output,Certificate / Final Output,شهادة أو مخرج نهائي,Pending,,
template.name.goods-receipt,Goods Receipt,استلام البضائع,Pending,,
template.name.issue-dispatch,Issue / Dispatch,صرف أو إرسال,Pending,,
template.name.stock-transfer,Stock Transfer,تحويل المخزون,Pending,,
template.name.stock-count,Stock Count / Adjustment,جرد أو تسوية المخزون,Pending,,
template.name.batch-serial-tracking,Batch / Serial Tracking,تتبع الدفعات والأرقام التسلسلية,Pending,,
template.name.pick-pack,Pick / Pack Workspace,مساحة الالتقاط والتعبئة,Pending,,
template.name.transport-plan,Trip / Transport Plan,خطة الرحلة أو النقل,Pending,,
template.name.dispatch-board,Dispatch and Tracking Board,لوحة الإرسال والتتبع,Pending,,
template.name.journal-voucher,Journal Voucher,سند قيد,Pending,,
template.name.payment-voucher,Payment Voucher,سند دفع,Pending,,
template.name.receipt-voucher,Receipt Voucher,سند قبض,Pending,,
template.name.invoice-billing,Invoice / Billing Workspace,مساحة الفواتير,Pending,,
template.name.patient-billing,Patient Billing,فوترة المرضى,Pending,,
template.name.school-fees,School Fees,الرسوم المدرسية,Pending,,
template.name.credit-debit-note,Credit / Debit Note,إشعار دائن أو مدين,Pending,,
template.name.allocation-settlement,Allocation / Settlement,تخصيص أو تسوية,Pending,,
template.name.bank-reconciliation,Bank Reconciliation,التسوية البنكية,Pending,,
template.name.budget-workspace,Budget Workspace,مساحة الميزانية,Pending,,
template.name.period-processing,Period Processing,معالجة الفترة,Pending,,
template.name.statement-account,Statement of Account,كشف حساب,Pending,,
template.name.report-parameters,Report Parameters,معلمات التقرير,Pending,,
template.name.tabular-report,Tabular Report,تقرير جدولي,Pending,,
template.name.grouped-report,Grouped / Summary Report,تقرير مجمع أو ملخص,Pending,,
