message_key,english,current_translation,reviewer,status,proposed_translation,notes
  :clear          clear the transcript,  :clear          clear the transcript,  :clear          ട്രാൻസ്ക്രിപ്റ്റ് മായ്ക്കുക,,Pending,,
"  :fields <cmd>   show what would be captured, without sending","  :fields <cmd>   show what would be captured, without sending",  :fields <cmd>   അയയ്ക്കാതെ പകർത്തുന്നവ കാണിക്കുക,,Pending,,
 ({count} set), ({count} set), (സജ്ജമാക്കിയത്: {count}),,Pending,,
ui.it.is.not.a.target.a.level.is.supported.by.the.work.that.40a707bf," It is not a target. A level is supported by the work that was clinically necessary and actually done — raising an element to reach a code is the thing this panel is meant to make visible, not easier. Office and outpatient levels are selected by medical decision making "," ഇത് ലക്ഷ്യമല്ല. ചികിത്സയ്ക്ക് ആവശ്യമായതും യഥാർത്ഥത്തിൽ ചെയ്തതുമായ പ്രവർത്തനമാണ് നിലയെ പിന്തുണയ്ക്കുന്നത്. കോഡ് ലഭിക്കാൻ ഘടകങ്ങൾ ഉയർത്തുന്നത് ഈ പാനൽ വെളിപ്പെടുത്തുന്നു, എളുപ്പമാക്കുന്നില്ല. ഓഫീസ്, ഔട്ട്പേഷ്യന്റ് നിലകൾ ചികിത്സാ തീരുമാനം അടിസ്ഥാനമാക്കിയാണ് തിരഞ്ഞെടുക്കുന്നത് ",,Pending,,
ui.recording.232c8b77, Recording, റെക്കോർഡ് ചെയ്യുന്നു,,Pending,,
ui.scope.of.this.screen.f2f37b23, Scope of this screen, ഈ സ്ക്രീനിന്റെ പരിധി,,Pending,,
ui.signed.in.as.c2f48eaa, Signed in as , പ്രവേശിച്ചിരിക്കുന്നത് ,,Pending,,
ui.ago.eb04b447, ago, മുമ്പ്,,Pending,,
ui.captured.1d7aa182, captured, പകർത്തിയത്,,Pending,,
ui.combinations.762b3ed3, combinations, കോമ്പിനേഷനുകൾ,,Pending,,
ui.configured.a3ed874e, configured, ക്രമീകരിച്ചത്,,Pending,,
ui.days.b1c50316, days, ദിവസങ്ങൾ,,Pending,,
ui.families.5b30f82d, families, കുടുംബങ്ങൾ,,Pending,,
ui.field.03adf842, field, ഫീൽഡ്,,Pending,,
ui.final.segment.49458c3b, final segment, അവസാന ഭാഗം,,Pending,,
ui.for.the.commands.available.on.this.page.ea20dc95, for the commands available on this page., ഈ പേജിൽ ലഭ്യമായ കമാൻഡുകൾക്കായി.,,Pending,,
ui.gate.you.will.see.exactly.what.is.captured.before.anythi.26f5481b, gate. You will see exactly what is captured before anything is sent., . അയയ്ക്കുന്നതിനുമുമ്പ് എന്താണ് പകർത്തുന്നതെന്ന് കൃത്യമായി കാണാം.,,Pending,,
