key,English,translation,review_status,reviewer,comments
catalog.title,Component Library,ഘടക ലൈബ്രറി,Pending,,
catalog.intro,"Explore shared components, try the demos, and copy the React code into your application.","പങ്കിട്ട ഘടകങ്ങൾ കാണുക, ഡെമോകൾ പരീക്ഷിക്കുക, React കോഡ് നിങ്ങളുടെ ആപ്ലിക്കേഷനിലേക്ക് പകർത്തുക.",Pending,,
catalog.setup,Use these examples inside this workspace with its shared theme CSS and localization provider. Import components from the package shown in the code.,"ഈ വർക്ക്‌സ്‌പേസിലെ പങ്കിട്ട തീം CSS, വിവർത്തന പ്രൊവൈഡർ എന്നിവയ്ക്കൊപ്പം ഉദാഹരണങ്ങൾ ഉപയോഗിക്കുക. കോഡിൽ കാണിച്ച പാക്കേജിൽ നിന്ന് ഘടകങ്ങൾ ഇറക്കുമതി ചെയ്യുക.",Pending,,
catalog.safety,Demo changes stay in memory. Reset clears the example; no business records are saved.,ഡെമോ മാറ്റങ്ങൾ മെമ്മറിയിൽ മാത്രം നിലനിൽക്കും. പുനഃസജ്ജമാക്കുമ്പോൾ ഉദാഹരണം മായും; ബിസിനസ് രേഖകൾ സംരക്ഷിക്കില്ല.,Pending,,
catalog.search,Search component names or source files,ഘടകങ്ങളുടെ പേരോ സോഴ്‌സ് ഫയലുകളോ തിരയുക,Pending,,
catalog.groups,Component groups,ഘടക ഗ്രൂപ്പുകൾ,Pending,,
catalog.all,All components,എല്ലാ ഘടകങ്ങളും,Pending,,
catalog.browse,Browse examples,ഉദാഹരണങ്ങൾ കാണുക,Pending,,
catalog.preview,Interactive demo,ഇന്ററാക്ടീവ് ഡെമോ,Pending,,
catalog.code,React integration code,React സംയോജന കോഡ്,Pending,,
catalog.copy,Copy code,കോഡ് പകർത്തുക,Pending,,
catalog.copied,Code copied.,കോഡ് പകർത്തി.,Pending,,
catalog.copyFailed,Clipboard unavailable. Select the code and copy it manually.,ക്ലിപ്പ്ബോർഡ് ലഭ്യമല്ല. കോഡ് തിരഞ്ഞെടുത്ത് നേരിട്ട് പകർത്തുക.,Pending,,
catalog.copyHint,The example includes imports and local state. Code identifiers are not translated.,ഉദാഹരണത്തിൽ ഇറക്കുമതികളും ലോക്കൽ സ്റ്റേറ്റും ഉൾപ്പെടുന്നു. കോഡ് ഐഡന്റിഫയറുകൾ വിവർത്തനം ചെയ്യില്ല.,Pending,,
catalog.reset,Reset demo,ഡെമോ പുനഃസജ്ജമാക്കുക,Pending,,
catalog.count,Showing {count} of {total} examples,{total} ഉദാഹരണങ്ങളിൽ {count} കാണിക്കുന്നു,Pending,,
catalog.actionCount,Demo actions: {count},ഡെമോ പ്രവർത്തനങ്ങൾ: {count},Pending,,
catalog.pageNumber,Current page: {page},നിലവിലെ പേജ്: {page},Pending,,
catalog.sampleData,Sample data only,സാമ്പിൾ ഡാറ്റ മാത്രം,Pending,,
catalog.simulateFailure,Simulate failure,പരാജയം അനുകരിക്കുക,Pending,,
catalog.confirmed,Demo action confirmed.,ഡെമോ പ്രവർത്തനം സ്ഥിരീകരിച്ചു.,Pending,,
catalog.confirmDemo,Confirm this local demo action?,ഈ ലോക്കൽ ഡെമോ പ്രവർത്തനം സ്ഥിരീകരിക്കണോ?,Pending,,
catalog.recovered,Recovered. Your input is unchanged.,വീണ്ടെടുത്തു. നിങ്ങളുടെ ഇൻപുട്ട് മാറിയിട്ടില്ല.,Pending,,
catalog.savedLocally,Demo submitted locally. No API request was sent.,ഡെമോ പ്രാദേശികമായി സമർപ്പിച്ചു. API അഭ്യർത്ഥന അയച്ചിട്ടില്ല.,Pending,,
catalog.fileHint,Only the filename is displayed. Nothing is uploaded.,ഫയലിന്റെ പേര് മാത്രം കാണിക്കും. ഒന്നും അപ്‌ലോഡ് ചെയ്യില്ല.,Pending,,
catalog.fieldShellHint,Use FieldShell to connect custom controls to labels and validation messages.,കസ്റ്റം കൺട്രോളുകളെ ലേബലുകളോടും പരിശോധനാ സന്ദേശങ്ങളോടും ബന്ധിപ്പിക്കാൻ FieldShell ഉപയോഗിക്കുക.,Pending,,
