key,English,Arabic,Hindi,Malayalam,reviewer,status,comments
template.clinical.aPositive,A positive,فصيلة A موجب,ए पॉज़िटिव,എ പോസിറ്റീവ്,,Pending native review,
template.clinical.abPositive,AB positive,فصيلة AB موجب,एबी पॉज़िटिव,എബി പോസിറ്റീവ്,,Pending native review,
template.clinical.accident,Accident,حادث,दुर्घटना,അപകടം,,Pending native review,
template.clinical.actionable,Today's actionable care,الرعاية المطلوبة,आवश्यक देखभाल,ചെയ്യേണ്ട പരിചരണം,,Pending native review,
template.clinical.active,Active,نشط,सक्रिय,സജീവം,,Pending native review,
template.clinical.add,Add,إضافة,जोड़ें,ചേർക്കുക,,Pending native review,
template.clinical.addAddresses,Add address,إضافة عنوان,पता जोड़ें,വിലാസം ചേർക്കുക,,Pending native review,
template.clinical.addCommunications,Add communication preference,إضافة تفضيل تواصل,संचार प्राथमिकता जोड़ें,ആശയവിനിമയ മുൻഗണന ചേർക്കുക,,Pending native review,
template.clinical.addConsents,Add consent record,إضافة سجل موافقة,सहमति रिकॉर्ड जोड़ें,സമ്മത രേഖ ചേർക്കുക,,Pending native review,
template.clinical.addDisabilities,Add disability detail,إضافة تفاصيل إعاقة,विकलांगता का विवरण जोड़ें,വൈകല്യ വിവരം ചേർക്കുക,,Pending native review,
template.clinical.addDocuments,Add document,إضافة وثيقة,दस्तावेज़ जोड़ें,രേഖ ചേർക്കുക,,Pending native review,
template.clinical.addEmail,Add email address,إضافة بريد إلكتروني,ईमेल पता जोड़ें,ഇമെയിൽ വിലാസം ചേർക്കുക,,Pending native review,
template.clinical.addIdentifiers,Add ID document,إضافة وثيقة هوية,पहचान दस्तावेज़ जोड़ें,തിരിച്ചറിയൽ രേഖ ചേർക്കുക,,Pending native review,
template.clinical.addInsurances,Add insurance policy,إضافة وثيقة تأمين,बीमा पॉलिसी जोड़ें,ഇൻഷുറൻസ് പോളിസി ചേർക്കുക,,Pending native review,
template.clinical.addNames,Add another name,إضافة اسم آخر,एक और नाम जोड़ें,മറ്റൊരു പേര് ചേർക്കുക,,Pending native review,
template.clinical.addPhone,Add phone number,إضافة رقم هاتف,फ़ोन नंबर जोड़ें,ഫോൺ നമ്പർ ചേർക്കുക,,Pending native review,
template.clinical.addRelated,Add related person,إضافة شخص ذي صلة,संबंधित व्यक्ति जोड़ें,ബന്ധപ്പെട്ട വ്യക്തിയെ ചേർക്കുക,,Pending native review,
template.clinical.additionalDetails,Additional details,تفاصيل إضافية,अतिरिक्त विवरण,കൂടുതൽ വിവരങ്ങൾ,,Pending native review,
template.clinical.address,Address,العنوان,पता,വിലാസം,,Pending native review,
template.clinical.addressType,Address type,نوع العنوان,पते का प्रकार,വിലാസത്തിന്റെ തരം,,Pending native review,
template.clinical.addresses,Addresses,العناوين,पते,വിലാസങ്ങൾ,,Pending native review,
template.clinical.age,Age,العمر,आयु,പ്രായം,,Pending native review,
template.clinical.ageRelated,Age-related,مرتبط بالعمر,आयु से संबंधित,പ്രായവുമായി ബന്ധപ്പെട്ടത്,,Pending native review,
template.clinical.alias,Alias,اسم مستعار,उपनाम,അപരനാമം,,Pending native review,
template.clinical.apiSource,API,واجهة برمجة التطبيقات,एपीआई,എപിഐ,,Pending native review,
template.clinical.appointment,Appointment,موعد,अपॉइंटमेंट,അപ്പോയിന്റ്മെന്റ്,,Pending native review,
template.clinical.appointments,Upcoming appointments,المواعيد القادمة,आगामी अपॉइंटमेंट,വരാനിരിക്കുന്ന അപ്പോയിന്റ്മെന്റുകൾ,,Pending native review,
template.clinical.ar,Arabic,العربية,अरबी,അറബിക്,,Pending native review,
template.clinical.asc,Ascending,تصاعدي,आरोही,ആരോഹണം,,Pending native review,
template.clinical.attending,Attending,الطبيب المعالج,उपचार करने वाला चिकित्सक,ചികിത്സിക്കുന്ന ഡോക്ടർ,,Pending native review,
template.clinical.bPositive,B positive,فصيلة B موجب,बी पॉज़िटिव,ബി പോസിറ്റീവ്,,Pending native review,
template.clinical.backSearch,Back to search,العودة إلى البحث,खोज पर वापस जाएँ,തിരയലിലേക്ക് മടങ്ങുക,,Pending native review,
template.clinical.billing,Billing,الفوترة,बिलिंग,ബില്ലിംഗ്,,Pending native review,
template.clinical.birthCountry,Birth country,بلد الميلاد,जन्म का देश,ജനിച്ച രാജ്യം,,Pending native review,
template.clinical.birthDate,Date of birth,تاريخ الميلاد,जन्म तिथि,ജനന തീയതി,,Pending native review,
template.clinical.birthPlace,Birth place,مكان الميلاد,जन्म स्थान,ജനനസ്ഥലം,,Pending native review,
template.clinical.birthTime,Birth time,وقت الولادة,जन्म का समय,ജനന സമയം,,Pending native review,
template.clinical.bloodGroup,Blood group,فصيلة الدم,रक्त समूह,രക്തഗ്രൂപ്പ്,,Pending native review,
template.clinical.bloodVerified,Blood group verified,تم التحقق من فصيلة الدم,रक्त समूह सत्यापित,രക്തഗ്രൂപ്പ് സ്ഥിരീകരിച്ചു,,Pending native review,
template.clinical.book,Book,حجز,बुक करें,ബുക്ക് ചെയ്യുക,,Pending native review,
template.clinical.branch,Branch,الفرع,शाखा,ശാഖ,,Pending native review,
template.clinical.branchMrn,Branch MRN,رقم السجل الطبي للفرع,शाखा MRN,ശാഖയിലെ MRN,,Pending native review,
template.clinical.byBirth,By Birth,منذ الولادة,जन्म से,ജനനം മുതൽ,,Pending native review,
template.clinical.callCenter,Call Center,مركز الاتصال,कॉल सेंटर,കോൾ സെന്റർ,,Pending native review,
template.clinical.cards,Cards,بطاقات,कार्ड,കാർഡുകൾ,,Pending native review,
