run,pageId,result,scope
desktop-chromium,library-dashboard,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,component-library,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,form-controls,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,feedback-components,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,date-components,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,card-components,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,table-components,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,navigation-components,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,inline-components,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,form-patterns,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,data-patterns,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,billing-patterns,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,page-templates,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-simple-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-detailed-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-person-registration,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-person-profile,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-organization-profile,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-item-service-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-hierarchical-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-relationship-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-configuration-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-patient-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-employee-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-customer-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-supplier-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-student-master,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-master-list,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-transaction-register,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-operational-worklist,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-assignment-queue,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-approval-inbox,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-exception-queue,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-board-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-split-list-detail,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-batch-processing,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-header-lines-order,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-service-test-order,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-quotation-estimate,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-order-fulfillment,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-return-cancellation,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-order-comparison,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-recurring-order,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-purchase-order,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-sales-order,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-lab-order,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-appointment,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-calendar-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-resource-timeline,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-occupancy-board,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-allocation-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-roster-timetable,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-waitlist-check-in,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-patient-encounter,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-service-case,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-long-running-episode,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-procedure-planning,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-surgery-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-procedure-execution,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-checklist-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-discharge-closure,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-structured-result,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-lab-result,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-narrative-result,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-observation-chart,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-assessment-scoring,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-result-verification,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-result-comparison,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-certificate-output,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-goods-receipt,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-issue-dispatch,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-stock-transfer,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-stock-count,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-batch-serial-tracking,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-pick-pack,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-transport-plan,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-dispatch-board,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-journal-voucher,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-payment-voucher,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-receipt-voucher,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-invoice-billing,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-patient-billing,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-school-fees,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-credit-debit-note,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-allocation-settlement,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-bank-reconciliation,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-budget-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-period-processing,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-statement-account,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-report-parameters,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-tabular-report,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-grouped-report,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-pivot-report,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-printable-report,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-operational-dashboard,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-management-dashboard,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-analytical-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-entity-360,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-history-timeline,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-document-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-task-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-communication-workspace,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-policy-editor,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-permissions-matrix,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-workflow-configuration,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-import-wizard,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-background-jobs,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-schedule-configuration,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-audit-explorer,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,template-integration-configuration,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,allyvora-patient-query,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,allyvora-patient-record,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,allyvora-patient-360,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,spreadsheet-studio,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,import-export,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,bulk-operations,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,theme-studio,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,localization,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,accessibility,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,page-catalog,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,component-contracts,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,keyboard-shortcuts,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,integration-guide,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,preferences,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,saved-views,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,shortcut-manager,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,notifications,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,messages,passed,navigation/rendered presentation; not complete domain acceptance
desktop-chromium,ai-administration,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,library-dashboard,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,component-library,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,form-controls,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,feedback-components,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,date-components,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,card-components,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,table-components,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,navigation-components,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,inline-components,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,form-patterns,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,data-patterns,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,billing-patterns,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,page-templates,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-simple-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-detailed-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-person-registration,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-person-profile,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-organization-profile,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-item-service-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-hierarchical-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-relationship-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-configuration-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-patient-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-employee-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-customer-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-supplier-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-student-master,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-master-list,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-transaction-register,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-operational-worklist,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-assignment-queue,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-approval-inbox,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-exception-queue,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-board-workspace,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-split-list-detail,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-batch-processing,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-header-lines-order,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-service-test-order,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-quotation-estimate,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-order-fulfillment,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-return-cancellation,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-order-comparison,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-recurring-order,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-purchase-order,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-sales-order,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-lab-order,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-appointment,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-calendar-workspace,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-resource-timeline,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-occupancy-board,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-allocation-workspace,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-roster-timetable,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-waitlist-check-in,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-patient-encounter,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-service-case,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-long-running-episode,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-procedure-planning,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-surgery-workspace,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-procedure-execution,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-checklist-workspace,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-discharge-closure,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-structured-result,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-lab-result,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-narrative-result,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-observation-chart,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-assessment-scoring,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-result-verification,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-result-comparison,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-certificate-output,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-goods-receipt,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-issue-dispatch,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-stock-transfer,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-stock-count,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-batch-serial-tracking,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-pick-pack,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-transport-plan,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-dispatch-board,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-journal-voucher,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-payment-voucher,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-receipt-voucher,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-invoice-billing,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-patient-billing,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-school-fees,passed,navigation/rendered presentation; not complete domain acceptance
web-chromium,template-credit-debit-note,passed,navigation/rendered presentation; not complete domain acceptance
