key,English,translation,review_status,reviewer,comments
catalog.title,Component Library,घटक लाइब्रेरी,Pending,,
catalog.intro,"Explore shared components, try the demos, and copy the React code into your application.","साझा घटक देखें, डेमो आज़माएँ और React कोड अपने अनुप्रयोग में कॉपी करें।",Pending,,
catalog.setup,Use these examples inside this workspace with its shared theme CSS and localization provider. Import components from the package shown in the code.,इन उदाहरणों को इस कार्यक्षेत्र की साझा थीम CSS और अनुवाद प्रदाता के साथ उपयोग करें। कोड में दिखाए गए पैकेज से घटक आयात करें।,Pending,,
catalog.safety,Demo changes stay in memory. Reset clears the example; no business records are saved.,डेमो के बदलाव मेमोरी में रहते हैं। रीसेट उदाहरण साफ करता है; व्यावसायिक रिकॉर्ड सहेजे नहीं जाते।,Pending,,
catalog.search,Search component names or source files,घटक नाम या स्रोत फ़ाइल खोजें,Pending,,
catalog.groups,Component groups,घटक समूह,Pending,,
catalog.all,All components,सभी घटक,Pending,,
catalog.browse,Browse examples,उदाहरण देखें,Pending,,
catalog.preview,Interactive demo,इंटरैक्टिव डेमो,Pending,,
catalog.code,React integration code,React एकीकरण कोड,Pending,,
catalog.copy,Copy code,कोड कॉपी करें,Pending,,
catalog.copied,Code copied.,कोड कॉपी हुआ।,Pending,,
catalog.copyFailed,Clipboard unavailable. Select the code and copy it manually.,क्लिपबोर्ड उपलब्ध नहीं है। कोड चुनकर स्वयं कॉपी करें।,Pending,,
catalog.copyHint,The example includes imports and local state. Code identifiers are not translated.,उदाहरण में आयात और स्थानीय स्थिति शामिल हैं। कोड पहचानकर्ताओं का अनुवाद नहीं होता।,Pending,,
catalog.reset,Reset demo,डेमो रीसेट करें,Pending,,
catalog.count,Showing {count} of {total} examples,{total} में से {count} उदाहरण,Pending,,
catalog.actionCount,Demo actions: {count},डेमो कार्रवाइयाँ: {count},Pending,,
catalog.pageNumber,Current page: {page},वर्तमान पृष्ठ: {page},Pending,,
catalog.sampleData,Sample data only,केवल नमूना डेटा,Pending,,
catalog.simulateFailure,Simulate failure,विफलता दिखाएँ,Pending,,
catalog.confirmed,Demo action confirmed.,डेमो कार्रवाई की पुष्टि हुई।,Pending,,
catalog.confirmDemo,Confirm this local demo action?,इस स्थानीय डेमो कार्रवाई की पुष्टि करें?,Pending,,
catalog.recovered,Recovered. Your input is unchanged.,बहाल हुआ। आपका इनपुट नहीं बदला।,Pending,,
catalog.savedLocally,Demo submitted locally. No API request was sent.,डेमो स्थानीय रूप से जमा हुआ। कोई API अनुरोध नहीं भेजा गया।,Pending,,
catalog.fileHint,Only the filename is displayed. Nothing is uploaded.,केवल फ़ाइल नाम दिखता है। कुछ भी अपलोड नहीं होता।,Pending,,
catalog.fieldShellHint,Use FieldShell to connect custom controls to labels and validation messages.,कस्टम नियंत्रणों को लेबल और सत्यापन संदेशों से जोड़ने के लिए FieldShell उपयोग करें।,Pending,,
catalog.billingHint,"Quantity × unit price. Tax, rounding and payment rules belong to your billing service.","मात्रा × इकाई मूल्य। कर, पूर्णांकन और भुगतान नियम आपकी बिलिंग सेवा में लागू करें।",Pending,,
catalog.localizationHint,Labels follow the selected language; record values remain unchanged.,लेबल चुनी हुई भाषा में दिखते हैं; रिकॉर्ड मान नहीं बदलते।,Pending,,
catalog.striped,Striped rows,धारीदार पंक्तियाँ,Pending,,
catalog.bordered,Cell borders,सेल बॉर्डर,Pending,,
catalog.group.forms,Form Controls,फ़ॉर्म नियंत्रण,Pending,,
catalog.group.dates,Dates & Calendars,तिथियाँ और कैलेंडर,Pending,,
catalog.group.cards,Cards & Data Display,कार्ड और डेटा प्रदर्शन,Pending,,
catalog.group.tables,Tables,तालिकाएँ,Pending,,
catalog.group.navigation,Buttons & Navigation,बटन और नेविगेशन,Pending,,
catalog.group.feedback,Feedback & Overlays,प्रतिक्रिया और ओवरले,Pending,,
catalog.group.inline,Inline Editing,इनलाइन संपादन,Pending,,
catalog.group.formPatterns,Form Patterns,फ़ॉर्म पैटर्न,Pending,,
catalog.group.dataPatterns,Data Worklists,डेटा कार्यसूचियाँ,Pending,,
catalog.group.billing,Billing Workspace,बिलिंग कार्यक्षेत्र,Pending,,
