key,English,translation,review_status,reviewer,comments
draft.available,A draft is available from {date}.,{date}-ൽ സംരക്ഷിച്ച ഡ്രാഫ്റ്റ് ലഭ്യമാണ്.,Pending,,
draft.saved,Draft saved: {date}.,ഡ്രാഫ്റ്റ് സംരക്ഷിച്ചു: {date}.,Pending,,
draft.restore,Restore draft,ഡ്രാഫ്റ്റ് പുനഃസ്ഥാപിക്കുക,Pending,,
draft.discard,Discard draft,ഡ്രാഫ്റ്റ് ഉപേക്ഷിക്കുക,Pending,,
draft.outdated,The source changed after this draft. Review the current record or file before restoring. Saving still requires validation and version checks.,ഈ ഡ്രാഫ്റ്റിന് ശേഷം ഉറവിടം മാറി. പുനഃസ്ഥാപിക്കുന്നതിന് മുമ്പ് നിലവിലെ രേഖയോ ഫയലോ പരിശോധിക്കുക. സംരക്ഷിക്കുമ്പോൾ ഡാറ്റയും പതിപ്പും പരിശോധിക്കും.,Pending,,
draft.incompatible,This draft uses an incompatible format. Discard it and start with the current page.,ഈ ഡ്രാഫ്റ്റിന്റെ ഘടന അനുയോജ്യമല്ല. ഇത് ഉപേക്ഷിച്ച് നിലവിലെ പേജിൽ നിന്ന് തുടങ്ങുക.,Pending,,
draft.reviewed,I reviewed the current source,നിലവിലെ ഉറവിടം പരിശോധിച്ചു,Pending,,
draft.excluded,Protected fields were excluded from this draft. Review those fields before saving.,സംരക്ഷിത ഫീൽഡുകൾ ഈ ഡ്രാഫ്റ്റിൽ ഉൾപ്പെടുത്തിയിട്ടില്ല. സംരക്ഷിക്കുന്നതിന് മുമ്പ് അവ പരിശോധിക്കുക.,Pending,,
draft.disabled,Draft storage is disabled by your tenant administrator. Keep this window open until you save your work.,ടെനന്റ് അഡ്മിനിസ്ട്രേറ്റർ ഡ്രാഫ്റ്റ് സംഭരണം പ്രവർത്തനരഹിതമാക്കി. ജോലി സംരക്ഷിക്കുന്നതുവരെ ഈ വിൻഡോ തുറന്നിടുക.,Pending,,
draft.loadLatest,Load latest draft settings,ഏറ്റവും പുതിയ ഡ്രാഫ്റ്റ് ക്രമീകരണങ്ങൾ ലോഡ് ചെയ്യുക,Pending,,
draft.policyTitle,Draft recovery policy,ഡ്രാഫ്റ്റ് വീണ്ടെടുക്കൽ നയം,Pending,,
