key,English,translation,review_status,reviewer,comments
center.title,Draft Recovery Center,مركز استعادة المسودات,Pending,,
center.subtitle,Find and resume your unfinished work.,اعثر على عملك غير المكتمل وتابعه.,Pending,,
center.description,Your saved drafts in {application}. Open a draft to review it before restoring.,مسوداتك المحفوظة في {application}. افتح المسودة لمراجعتها قبل استعادتها.,Pending,,
center.refresh,Refresh drafts,تحديث المسودات,Pending,,
center.storageOn,Draft storage is enabled by your tenant policy. Only service-acknowledged changes are recoverable.,تخزين المسودات مفعّل وفق سياسة المؤسسة. يمكن استعادة التغييرات التي أكدت الخدمة حفظها فقط.,Pending,,
center.retention,Retention: {days} days after the last draft save. Expired drafts are removed.,مدة الاحتفاظ: {days} أيام بعد آخر حفظ. تُحذف المسودات المنتهية.,Pending,,
center.counts,Saved: {all} · Outdated: {outdated} · Unavailable: {unavailable},المحفوظة: {all} · القديمة: {outdated} · غير المتاحة: {unavailable},Pending,,
center.exclusions,Additional tenant exclusions: {fields}. Protected credential fields are always excluded.,استبعادات المؤسسة الإضافية: {fields}. تُستبعد حقول بيانات الاعتماد المحمية دائماً.,Pending,,
center.none,None,لا يوجد,Pending,,
center.search,Search by page or record ID,البحث بالصفحة أو معرّف السجل,Pending,,
center.kind,Draft type,نوع المسودة,Pending,,
center.status,Status,الحالة,Pending,,
center.allTypes,All draft types,جميع أنواع المسودات,Pending,,
center.allStatuses,All statuses,جميع الحالات,Pending,,
center.form,Form,نموذج,Pending,,
center.import,Import mapping,تعيين أعمدة الاستيراد,Pending,,
center.approval,Approval comment,تعليق الموافقة,Pending,,
center.ready,Ready to review,جاهزة للمراجعة,Pending,,
center.outdated,Source changed — review required,تغير المصدر — المراجعة مطلوبة,Pending,,
center.unavailable,Access or record unavailable,الوصول أو السجل غير متاح,Pending,,
center.file-required,CSV file required,ملف CSV مطلوب,Pending,,
center.loading,Loading drafts…,جارٍ تحميل المسودات…,Pending,,
center.empty,No saved drafts match these filters.,لا توجد مسودات محفوظة تطابق عوامل التصفية.,Pending,,
center.application,Application,التطبيق,Pending,,
center.record,Page / record,الصفحة / السجل,Pending,,
center.saved,Last saved,آخر حفظ,Pending,,
center.expiry,Expires,تنتهي الصلاحية,Pending,,
center.actions,Actions,الإجراءات,Pending,,
center.newRecord,New record,سجل جديد,Pending,,
center.inbox,Approval inbox,صندوق الموافقات,Pending,,
center.hidden,Record details hidden because access is unavailable,تفاصيل السجل مخفية لعدم توفر الوصول,Pending,,
center.open,Open draft,فتح المسودة,Pending,,
center.previous,Previous drafts,المسودات السابقة,Pending,,
center.next,Next drafts,المسودات التالية,Pending,,
center.pageCount,{start}–{end} of {total},{start}–{end} من {total},Pending,,
center.hint,Opening never submits a record or approval. Reselect CSV files to restore mappings. Refresh if another window changed a draft. Each application has its own recovery center.,لا يؤدي الفتح إلى إرسال سجل أو موافقة. أعد اختيار ملفات CSV لاستعادة تعيين الأعمدة. حدّث إذا غيّرت نافذة أخرى المسودة. لكل تطبيق مركز استعادة خاص به.,Pending,,
center.gone,Draft is no longer available.,لم تعد المسودة متاحة.,Pending,,
center.conflict,Draft changed. Refresh the recovery center.,تغيرت المسودة. حدّث مركز الاستعادة.,Pending,,
