english,current_translation,reviewer,status,proposed_translation,notes
Use Customer Master to find and maintain customer records.,استخدم سجل العملاء للعثور على سجلات العملاء وصيانتها.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Search for an existing customer before creating another record. Open a row to inspect its details. Use New or Edit only when those actions are available for your role. Complete the required identity and contact fields, review validation messages, then save.",ابحث عن العميل قبل إنشاء سجل آخر. افتح الصف لمراجعة تفاصيله. استخدم إجراء جديد أو تعديل فقط إذا كان متاحاً لدورك. أكمل حقول الهوية والاتصال المطلوبة، وراجع رسائل التحقق، ثم احفظ.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"After saving, return to the worklist and verify the customer appears with the expected details. If another session changed the record, reload and compare before resubmitting.",بعد الحفظ، ارجع إلى القائمة وتأكد من ظهور التفاصيل الصحيحة. إذا عدّلت جلسة أخرى السجل، فأعد تحميله وقارن التغييرات قبل الحفظ مجدداً.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Use Patient Master to maintain patient registration details in the Healthcare module.,استخدم سجل المرضى لإدارة بيانات تسجيل المرضى في وحدة الرعاية الصحية.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Search existing patient records before creating a record. Verify identity using your organization’s approved registration procedure. Open the selected record and review the field reference for required registration details.,ابحث في السجلات الحالية قبل إنشاء سجل. تحقق من الهوية وفق إجراء التسجيل المعتمد في مؤسستك. افتح السجل المختار وراجع مرجع الحقول لمعرفة البيانات المطلوبة.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Correct displayed validation errors before saving. If you suspect a duplicate, follow your organization’s duplicate-review procedure rather than creating additional records. This guide describes software operation and does not provide clinical advice.",صحح أخطاء التحقق قبل الحفظ. عند الاشتباه في سجل مكرر، اتبع إجراء مراجعة التكرار في مؤسستك بدلاً من إنشاء سجلات إضافية. يشرح هذا الدليل استخدام البرنامج ولا يقدم نصائح سريرية.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Use Preferences to choose the appearance, language and behavior of your application.",استخدم التفضيلات لاختيار مظهر التطبيق ولغته وسلوكه.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Select a preference group and adjust an available setting. Changes save automatically. Managed settings are enforced by your tenant administrator. Imports and resets cannot override a lock.,اختر مجموعة وعدّل إعداداً متاحاً. تُحفظ التغييرات تلقائياً. يفرض مسؤول المستأجر الإعدادات المُدارة، ولا يمكن للاستيراد أو إعادة الضبط تجاوز القفل.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Administrators with preference-management permission can open Preference policies, choose default values and lock settings. Save policy applies the policy to this tenant and application. Unlocking restores saved personal choices.",يمكن للمسؤول المخوّل فتح سياسات التفضيلات وتحديد القيم الافتراضية وقفل الإعدادات. يطبق حفظ السياسة التغييرات على هذا المستأجر والتطبيق. يعيد إلغاء القفل الاختيارات الشخصية المحفوظة.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Read page guides, published releases, patches and change notices for this application.",اقرأ أدلة الصفحات والإصدارات المنشورة والتحديثات وإشعارات التغيير لهذا التطبيق.,,Pending,,Documentation content; healthcare paragraphs also require domain review
