key,English,translation,review_status,reviewer,comments
center.title,Draft Recovery Center,ड्राफ़्ट पुनर्प्राप्ति केंद्र,Pending,,
center.subtitle,Find and resume your unfinished work.,अपना अधूरा काम खोजें और जारी रखें।,Pending,,
center.description,Your saved drafts in {application}. Open a draft to review it before restoring.,{application} में आपके सहेजे गए ड्राफ़्ट। बहाल करने से पहले समीक्षा के लिए ड्राफ़्ट खोलें।,Pending,,
center.refresh,Refresh drafts,ड्राफ़्ट रीफ़्रेश करें,Pending,,
center.storageOn,Draft storage is enabled by your tenant policy. Only service-acknowledged changes are recoverable.,टेनेंट नीति के अनुसार ड्राफ़्ट संग्रहण चालू है। केवल सेवा द्वारा सहेजे जाने की पुष्टि वाले बदलाव बहाल हो सकते हैं।,Pending,,
center.retention,Retention: {days} days after the last draft save. Expired drafts are removed.,प्रतिधारण: अंतिम ड्राफ़्ट सहेजने के बाद {days} दिन। अवधि समाप्त होने पर ड्राफ़्ट हट जाते हैं।,Pending,,
center.counts,Saved: {all} · Outdated: {outdated} · Unavailable: {unavailable},सहेजे गए: {all} · पुराने: {outdated} · अनुपलब्ध: {unavailable},Pending,,
center.exclusions,Additional tenant exclusions: {fields}. Protected credential fields are always excluded.,अतिरिक्त टेनेंट बहिष्करण: {fields}। सुरक्षित क्रेडेंशियल फ़ील्ड हमेशा बाहर रखे जाते हैं।,Pending,,
center.none,None,कोई नहीं,Pending,,
center.search,Search by page or record ID,पृष्ठ या रिकॉर्ड ID से खोजें,Pending,,
center.kind,Draft type,ड्राफ़्ट प्रकार,Pending,,
center.status,Status,स्थिति,Pending,,
center.allTypes,All draft types,सभी ड्राफ़्ट प्रकार,Pending,,
center.allStatuses,All statuses,सभी स्थितियाँ,Pending,,
center.form,Form,फ़ॉर्म,Pending,,
center.import,Import mapping,आयात कॉलम मैपिंग,Pending,,
center.approval,Approval comment,अनुमोदन टिप्पणी,Pending,,
center.ready,Ready to review,समीक्षा के लिए तैयार,Pending,,
center.outdated,Source changed — review required,स्रोत बदला — समीक्षा आवश्यक,Pending,,
center.unavailable,Access or record unavailable,पहुँच या रिकॉर्ड उपलब्ध नहीं,Pending,,
center.file-required,CSV file required,CSV फ़ाइल आवश्यक,Pending,,
center.loading,Loading drafts…,ड्राफ़्ट लोड हो रहे हैं…,Pending,,
center.empty,No saved drafts match these filters.,इन फ़िल्टर से मेल खाने वाला कोई सहेजा गया ड्राफ़्ट नहीं है।,Pending,,
center.application,Application,एप्लिकेशन,Pending,,
center.record,Page / record,पृष्ठ / रिकॉर्ड,Pending,,
center.saved,Last saved,अंतिम बार सहेजा गया,Pending,,
center.expiry,Expires,समाप्ति,Pending,,
center.actions,Actions,कार्रवाइयाँ,Pending,,
center.newRecord,New record,नया रिकॉर्ड,Pending,,
center.inbox,Approval inbox,अनुमोदन इनबॉक्स,Pending,,
center.hidden,Record details hidden because access is unavailable,पहुँच उपलब्ध नहीं होने के कारण रिकॉर्ड विवरण छिपे हैं,Pending,,
center.open,Open draft,ड्राफ़्ट खोलें,Pending,,
center.previous,Previous drafts,पिछले ड्राफ़्ट,Pending,,
center.next,Next drafts,अगले ड्राफ़्ट,Pending,,
center.pageCount,{start}–{end} of {total},{total} में से {start}–{end},Pending,,
center.hint,Opening never submits a record or approval. Reselect CSV files to restore mappings. Refresh if another window changed a draft. Each application has its own recovery center.,खोलने से रिकॉर्ड या अनुमोदन सबमिट नहीं होता। मैपिंग बहाल करने के लिए CSV फ़ाइल फिर चुनें। दूसरी विंडो में ड्राफ़्ट बदलने पर रीफ़्रेश करें। प्रत्येक एप्लिकेशन का अपना पुनर्प्राप्ति केंद्र है।,Pending,,
center.gone,Draft is no longer available.,ड्राफ़्ट अब उपलब्ध नहीं है।,Pending,,
center.conflict,Draft changed. Refresh the recovery center.,ड्राफ़्ट बदल गया। पुनर्प्राप्ति केंद्र रीफ़्रेश करें।,Pending,,
