key,English,translation,review_status,reviewer,comments
template.library,Page Template Library,पृष्ठ टेम्पलेट लाइब्रेरी,Pending,,
template.choose,Choose a page for your application,अपने अनुप्रयोग के लिए पृष्ठ चुनें,Pending,,
template.libraryHelp,"Explore reusable page designs, try layouts, and copy typed configuration and integration examples.","पुन: उपयोग योग्य पृष्ठ डिज़ाइन देखें, लेआउट आज़माएँ और टाइपयुक्त कॉन्फ़िगरेशन व एकीकरण उदाहरण कॉपी करें।",Pending,,
template.templateCount,{count} templates,{count} टेम्पलेट,Pending,,
template.matchCount,{count} templates match,{count} टेम्पलेट मिले,Pending,,
template.backLibrary,All page templates,सभी पृष्ठ टेम्पलेट,Pending,,
template.searchTemplates,Search templates or applications,टेम्पलेट या अनुप्रयोग खोजें,Pending,,
template.groupLabel,Template group,टेम्पलेट समूह,Pending,,
template.all,All,सभी,Pending,,
template.explore,Open template,टेम्पलेट खोलें,Pending,,
template.preview,Preview,पूर्वावलोकन,Pending,,
template.typescript,TypeScript example,TypeScript उदाहरण,Pending,,
template.configuration,Configuration,कॉन्फ़िगरेशन,Pending,,
template.guide,User and integration guide,उपयोगकर्ता और एकीकरण गाइड,Pending,,
template.layout,Preview layout,पूर्वावलोकन लेआउट,Pending,,
template.scenario,Preview state,पूर्वावलोकन स्थिति,Pending,,
template.reset,Reset preview,पूर्वावलोकन रीसेट करें,Pending,,
template.localDemo,Sample data only. Changes stay in this preview; no application API is called.,केवल नमूना डेटा। बदलाव इस पूर्वावलोकन में रहते हैं; अनुप्रयोग API नहीं बुलाया जाता।,Pending,,
template.codeHelp,"This example uses an in-memory adapter. Replace it with your application's authenticated, version-aware adapter.","यह उदाहरण मेमोरी अडैप्टर उपयोग करता है। इसे अपने अनुप्रयोग के प्रमाणित, संस्करण जाँचने वाले अडैप्टर से बदलें।",Pending,,
template.source,TypeScript source / configuration,TypeScript स्रोत / कॉन्फ़िगरेशन,Pending,,
template.purpose,Purpose,उद्देश्य,Pending,,
template.components,Shared components,साझा घटक,Pending,,
template.preferences,Preferences,प्राथमिकताएँ,Pending,,
template.integration,Application integration,अनुप्रयोग एकीकरण,Pending,,
template.scope,Data scope,डेटा दायरा,Pending,,
template.domainRules,Domain rules,डोमेन नियम,Pending,,
template.componentHelp,"Pages reuse shared fields, cards, tables, calendars, overlays and recovery messages. Configuration supplies labels, sections and actions.","पृष्ठ साझा फ़ील्ड, कार्ड, तालिका, कैलेंडर, ओवरले और बहाली संदेश उपयोग करते हैं। कॉन्फ़िगरेशन लेबल, अनुभाग और कार्रवाइयाँ देता है।",Pending,,
