message_key,english,current_translation,reviewer,status,proposed_translation,notes
  :clear          clear the transcript,  :clear          clear the transcript,  :clear          مسح النص,,Pending,,
"  :fields <cmd>   show what would be captured, without sending","  :fields <cmd>   show what would be captured, without sending",  :fields <cmd>   عرض ما سيُلتقط دون إرسال,,Pending,,
 ({count} set), ({count} set), (المحدد: {count}),,Pending,,
ui.it.is.not.a.target.a.level.is.supported.by.the.work.that.40a707bf," It is not a target. A level is supported by the work that was clinically necessary and actually done — raising an element to reach a code is the thing this panel is meant to make visible, not easier. Office and outpatient levels are selected by medical decision making ", ليس هدفاً. يدعم المستوى العمل الضروري سريرياً والمنفذ فعلاً. تُظهر هذه اللوحة رفع العناصر للوصول إلى رمز ولا تسهّله. تُحدد مستويات العيادات باتخاذ القرار الطبي ,,Pending,,
ui.recording.232c8b77, Recording, جارٍ التسجيل,,Pending,,
ui.scope.of.this.screen.f2f37b23, Scope of this screen, نطاق هذه الشاشة,,Pending,,
ui.signed.in.as.c2f48eaa, Signed in as , مسجل الدخول باسم ,,Pending,,
ui.ago.eb04b447, ago, مضت,,Pending,,
ui.captured.1d7aa182, captured, تم التقاطه,,Pending,,
ui.combinations.762b3ed3, combinations, تركيبات,,Pending,,
ui.configured.a3ed874e, configured, مهيأ,,Pending,,
ui.days.b1c50316, days, أيام,,Pending,,
ui.families.5b30f82d, families, عائلات,,Pending,,
ui.field.03adf842, field, حقل,,Pending,,
ui.final.segment.49458c3b, final segment, المقطع النهائي,,Pending,,
ui.for.the.commands.available.on.this.page.ea20dc95, for the commands available on this page., للأوامر المتاحة في هذه الصفحة.,,Pending,,
ui.gate.you.will.see.exactly.what.is.captured.before.anythi.26f5481b, gate. You will see exactly what is captured before anything is sent., . سترى ما يتم التقاطه قبل إرسال أي شيء.,,Pending,,
ui.is.resolved.server.side.at.dispatch.and.is.never.sent.to.0bc8d5de," is resolved server-side at dispatch and is never sent to a browser, so it cannot be read, replayed or edited from here — changing one is a server deployment.", يُحل على الخادم عند الإرسال ولا يُرسل للمتصفح؛ فلا يمكن قراءته أو إعادة استخدامه أو تعديله هنا. تغييره يتطلب نشر الخادم.,,Pending,,
ui.is.worth.showing.20.because.someone.chose.20.and.20.beca.91d7efba, is worth showing: 20 because someone chose 20 and 20 because nothing is configured look identical in the number alone., يستحق العرض: العدد 20 يبدو نفسه سواء اختاره شخص أو لم يُضبط شيء.,,Pending,,
ui.line.items.a742dc2d, line items • , بنود • ,,Pending,,
ui.min.46e2a1c0, min · , دقيقة · ,,Pending,,
ui.of.a4282e4b, of , من ,,Pending,,
ui.open.dee82cf5, open, مفتوح,,Pending,,
ui.patient.03989434, patient, مريض,,Pending,,
ui.redacted.4a081a65, redacted, محجوب,,Pending,,
ui.registered.1804af94, registered, مسجل,,Pending,,
ui.required.1307c284, required, مطلوب,,Pending,,
ui.required.sections.this.measures.whether.the.note.is.fill.d0f288bc," required sections. This measures whether the note is filled in, not whether it is clinically sufficient — and it is not a billing indicator.", أقسام مطلوبة. يقيس اكتمال الملاحظة لا كفايتها السريرية، وليس مؤشراً للفوترة.,,Pending,,
ui.rows.dc601c4a, rows, صفوف,,Pending,,
ui.sections.ordered.core.type.specialty.complaint.context.e.0417b2b5," sections, ordered core → type → specialty → complaint → context. Each names its layer.", أقسام مرتبة: أساسي ← نوع ← تخصص ← شكوى ← سياق. كل قسم يذكر طبقته.,,Pending,,
ui.to.87721689, to , إلى ,,Pending,,
ui.to.find.out.whether.it.still.works.2a65988c, to find out whether it still works., لمعرفة ما إذا كان لا يزال يعمل.,,Pending,,
ui.unavailable.so.a3f71a82," unavailable, so ", غير متاح، لذا ,,Pending,,
ui.unread.6048438c, unread, غير مقروء,,Pending,,
ui.will.look.empty.other.fields.are.unaffected.04f888e7, will look empty. Other fields are unaffected., سيظهر فارغاً. الحقول الأخرى لا تتأثر.,,Pending,,
ui.default.2a7e0b7b, · Default, · افتراضي,,Pending,,
ui.audio.is.streamed.never.stored.the.transcript.is.not.sav.346210fe," · audio is streamed, never stored · the transcript is not saved until you use it", · يُبث الصوت ولا يُخزّن · لا يُحفظ النص حتى تستخدمه,,Pending,,
ui.mock.transport.d72848f2, · mock transport, · نقل تجريبي,,Pending,,
ui.unverified.5987f7cb, · unverified, · غير متحقق منه,,Pending,,
ui.failing.at.call.time.would.turn.a.configuration.mistake.c05babfa, — failing at call time would turn a configuration mistake into an outage in the middle of a consultation., — الفشل وقت الاتصال يحوّل خطأ التهيئة إلى انقطاع أثناء الاستشارة.,,Pending,,
" — mock transport, nothing left this browser"," — mock transport, nothing left this browser", — نقل تجريبي، لم يغادر شيء المتصفح,,Pending,,
ui.not.registered.in.this.build.fe9af712, — not registered in this build, — غير مسجل في هذا البناء,,Pending,,
ui.complete.fe9543cf,% complete,% مكتمل,,Pending,,
ui.interim.03c51dde,(interim),‏(مؤقت),,Pending,,
(required),(required),‏(مطلوب),,Pending,,
ui.12.4.yoy.c7395af6,+12.4% YoY,+12.4% سنوياً,,Pending,,
+8.7% vs prior,+8.7% vs prior,+8.7% مقارنة بالسابق,,Pending,,
ui.change.it.in.my.preferences.the.record.schema.and.data.r.0074fc14,. Change it in My Preferences; the record schema and data remain unchanged.,. غيّره في تفضيلاتي؛ يبقى مخطط السجل وبياناته كما هما.,,Pending,,
. Choose,. Choose,. اختر,,Pending,,
ui.choose.62778c1f,. Choose ,. اختر ,,Pending,,
ui.nothing.of.that.kind.leaves.as.a.document.487773f4,. Nothing of that kind leaves as a document.,. لا يُرسل أي شيء من هذا النوع كمستند.,,Pending,,
ui.the.assistant.summarises.it.does.not.diagnose.4388468f,. The assistant summarises; it does not diagnose.,. المساعد يلخّص ولا يشخّص.,,Pending,,
ui.the.controls.below.are.greyed.as.a.courtesy.the.refusal.fffc8d0a,". The controls below are greyed as a courtesy — the refusal happens on the server, not here.",. الضوابط أدناه معطلة للتوضيح؛ الرفض يُنفّذ على الخادم.,,Pending,,
ui.try.another.module.0a6adf30,. Try another module.,. جرّب وحدة أخرى.,,Pending,,
ui.0.squares.every.corner.in.the.app.169b6538,0 squares every corner in the app.,القيمة 0 تجعل كل الزوايا مربعة.,,Pending,,
03 Sep 2026,03 Sep 2026,03 سبتمبر 2026,,Pending,,
03/09/2026 — day first,03/09/2026 — day first,03/09/2026 — اليوم أولاً,,Pending,,
09/03/2026 — month first,09/03/2026 — month first,09/03/2026 — الشهر أولاً,,Pending,,
1 — newest only,1 — newest only,1 — الأحدث فقط,,Pending,,
10 / page,10 / page,10 / صفحة,,Pending,,
100 / page,100 / page,100 / صفحة,,Pending,,
100% token-aware,100% token-aware,يدعم رموز التصميم بنسبة 100%,,Pending,,
104% of MTD plan,104% of MTD plan,104% من خطة الشهر حتى اليوم,,Pending,,
12 blocking,12 blocking,12 مانعاً,,Pending,,
12 blocking exceptions,12 blocking exceptions,12 استثناءً مانعاً,,Pending,,
