english,current_translation,reviewer,status,proposed_translation,notes
Use Customer Master to find and maintain customer records.,ഉപഭോക്തൃ രേഖകൾ കണ്ടെത്താനും പരിപാലിക്കാനും കസ്റ്റമർ മാസ്റ്റർ ഉപയോഗിക്കുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Search for an existing customer before creating another record. Open a row to inspect its details. Use New or Edit only when those actions are available for your role. Complete the required identity and contact fields, review validation messages, then save.","പുതിയ രേഖ സൃഷ്ടിക്കുന്നതിന് മുമ്പ് നിലവിലുള്ള ഉപഭോക്താവിനെ തിരയുക. വിവരങ്ങൾ കാണാൻ വരി തുറക്കുക. നിങ്ങളുടെ റോളിന് ലഭ്യമായാൽ മാത്രം പുതിയ രേഖയോ തിരുത്തലോ തിരഞ്ഞെടുക്കുക. ആവശ്യമായ തിരിച്ചറിയൽ, ബന്ധപ്പെടൽ വിവരങ്ങൾ നൽകി പിശകുകൾ പരിശോധിച്ച് സംരക്ഷിക്കുക.",,Pending,,Documentation content; healthcare paragraphs also require domain review
"After saving, return to the worklist and verify the customer appears with the expected details. If another session changed the record, reload and compare before resubmitting.",സംരക്ഷിച്ച ശേഷം പട്ടികയിലെ വിവരങ്ങൾ പരിശോധിക്കുക. മറ്റൊരു സെഷൻ രേഖ മാറ്റിയിട്ടുണ്ടെങ്കിൽ വീണ്ടും സംരക്ഷിക്കുന്നതിന് മുമ്പ് പുതുക്കി മാറ്റങ്ങൾ താരതമ്യം ചെയ്യുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Use Patient Master to maintain patient registration details in the Healthcare module.,ഹെൽത്ത്‌കെയർ വിഭാഗത്തിലെ രോഗി രജിസ്ട്രേഷൻ വിവരങ്ങൾ പരിപാലിക്കാൻ പേഷ്യന്റ് മാസ്റ്റർ ഉപയോഗിക്കുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
Search existing patient records before creating a record. Verify identity using your organization’s approved registration procedure. Open the selected record and review the field reference for required registration details.,പുതിയ രേഖ സൃഷ്ടിക്കുന്നതിന് മുമ്പ് നിലവിലുള്ള രോഗിയുടെ രേഖകൾ തിരയുക. സ്ഥാപനത്തിന്റെ അംഗീകൃത രജിസ്ട്രേഷൻ നടപടിപ്രകാരം തിരിച്ചറിയൽ പരിശോധിക്കുക. തിരഞ്ഞെടുത്ത രേഖ തുറന്ന് ആവശ്യമായ വിവരങ്ങൾക്കായി ഫീൽഡ് റഫറൻസ് കാണുക.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Correct displayed validation errors before saving. If you suspect a duplicate, follow your organization’s duplicate-review procedure rather than creating additional records. This guide describes software operation and does not provide clinical advice.",സംരക്ഷിക്കുന്നതിന് മുമ്പ് കാണിക്കുന്ന പിശകുകൾ തിരുത്തുക. ഇരട്ട രേഖ സംശയിച്ചാൽ കൂടുതൽ രേഖകൾ സൃഷ്ടിക്കാതെ സ്ഥാപനത്തിന്റെ പരിശോധനാ നടപടി പിന്തുടരുക. ഈ മാർഗ്ഗനിർദ്ദേശം സോഫ്റ്റ്‌വെയർ ഉപയോഗം വിശദീകരിക്കുന്നു; ചികിത്സാ ഉപദേശം നൽകുന്നില്ല.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Use Preferences to choose the appearance, language and behavior of your application.","ആപ്പിന്റെ രൂപം, ഭാഷ, പ്രവർത്തനരീതി എന്നിവ തിരഞ്ഞെടുക്കാൻ മുൻഗണനകൾ ഉപയോഗിക്കുക.",,Pending,,Documentation content; healthcare paragraphs also require domain review
Select a preference group and adjust an available setting. Changes save automatically. Managed settings are enforced by your tenant administrator. Imports and resets cannot override a lock.,ഒരു വിഭാഗം തിരഞ്ഞെടുത്ത് ലഭ്യമായ ക്രമീകരണം മാറ്റുക. മാറ്റങ്ങൾ സ്വയമേവ സംരക്ഷിക്കും. നിയന്ത്രിത ക്രമീകരണങ്ങൾ ടെനന്റ് അഡ്മിനിസ്ട്രേറ്റർ നിർബന്ധമാക്കുന്നു. ഇറക്കുമതിയോ പുനഃക്രമീകരണമോ ഉപയോഗിച്ച് ലോക്ക് മറികടക്കാനാവില്ല.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Administrators with preference-management permission can open Preference policies, choose default values and lock settings. Save policy applies the policy to this tenant and application. Unlocking restores saved personal choices.",അനുമതിയുള്ള അഡ്മിനിസ്ട്രേറ്റർക്ക് മുൻഗണനാ നയങ്ങൾ തുറന്ന് സ്ഥിരമൂല്യങ്ങളും ലോക്കുകളും നിശ്ചയിക്കാം. നയം സംരക്ഷിക്കുമ്പോൾ ഈ ടെനന്റിലും ആപ്പിലും അത് ബാധകമാകും. അൺലോക്ക് ചെയ്യുമ്പോൾ സംരക്ഷിച്ച വ്യക്തിഗത തിരഞ്ഞെടുപ്പുകൾ മടങ്ങിവരും.,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Read page guides, published releases, patches and change notices for this application.","ഈ ആപ്പിന്റെ പേജ് മാർഗ്ഗനിർദ്ദേശങ്ങൾ, പ്രസിദ്ധീകരിച്ച പതിപ്പുകൾ, പാച്ചുകൾ, മാറ്റ അറിയിപ്പുകൾ എന്നിവ വായിക്കുക.",,Pending,,Documentation content; healthcare paragraphs also require domain review
