key,English,translation,review_status,reviewer,comments
catalog.title,Component Library,مكتبة المكونات,Pending,,
catalog.intro,"Explore shared components, try the demos, and copy the React code into your application.",استكشف المكونات المشتركة وجرّب الأمثلة وانسخ كود React إلى تطبيقك.,Pending,,
catalog.setup,Use these examples inside this workspace with its shared theme CSS and localization provider. Import components from the package shown in the code.,استخدم الأمثلة داخل مساحة العمل مع CSS للقالب المشترك وموفر الترجمة. استورد المكونات من الحزمة المعروضة في الكود.,Pending,,
catalog.safety,Demo changes stay in memory. Reset clears the example; no business records are saved.,تبقى تغييرات العرض في الذاكرة. إعادة الضبط تمسح المثال ولا تحفظ سجلات العمل.,Pending,,
catalog.search,Search component names or source files,ابحث بأسماء المكونات أو ملفات المصدر,Pending,,
catalog.groups,Component groups,مجموعات المكونات,Pending,,
catalog.all,All components,كل المكونات,Pending,,
catalog.browse,Browse examples,تصفح الأمثلة,Pending,,
catalog.preview,Interactive demo,عرض تفاعلي,Pending,,
catalog.code,React integration code,كود دمج React,Pending,,
catalog.copy,Copy code,نسخ الكود,Pending,,
catalog.copied,Code copied.,تم نسخ الكود.,Pending,,
catalog.copyFailed,Clipboard unavailable. Select the code and copy it manually.,الحافظة غير متاحة. حدد الكود وانسخه يدوياً.,Pending,,
catalog.copyHint,The example includes imports and local state. Code identifiers are not translated.,يتضمن المثال الاستيرادات والحالة المحلية. معرّفات الكود لا تُترجم.,Pending,,
catalog.reset,Reset demo,إعادة ضبط العرض,Pending,,
catalog.count,Showing {count} of {total} examples,عرض {count} من {total} أمثلة,Pending,,
catalog.actionCount,Demo actions: {count},إجراءات العرض: {count},Pending,,
catalog.pageNumber,Current page: {page},الصفحة الحالية: {page},Pending,,
catalog.sampleData,Sample data only,بيانات تجريبية فقط,Pending,,
catalog.simulateFailure,Simulate failure,محاكاة فشل,Pending,,
catalog.confirmed,Demo action confirmed.,تم تأكيد الإجراء التجريبي.,Pending,,
catalog.confirmDemo,Confirm this local demo action?,تأكيد هذا الإجراء التجريبي المحلي؟,Pending,,
catalog.recovered,Recovered. Your input is unchanged.,تم الاسترداد. لم تتغير مدخلاتك.,Pending,,
catalog.savedLocally,Demo submitted locally. No API request was sent.,تم إرسال العرض محلياً دون طلب إلى API.,Pending,,
catalog.fileHint,Only the filename is displayed. Nothing is uploaded.,يُعرض اسم الملف فقط. لا يتم رفع شيء.,Pending,,
catalog.fieldShellHint,Use FieldShell to connect custom controls to labels and validation messages.,استخدم FieldShell لربط عناصر مخصصة بالتسميات ورسائل التحقق.,Pending,,
catalog.billingHint,"Quantity × unit price. Tax, rounding and payment rules belong to your billing service.",الكمية × سعر الوحدة. قواعد الضرائب والتقريب والدفع مسؤولية خدمة الفوترة.,Pending,,
catalog.localizationHint,Labels follow the selected language; record values remain unchanged.,تتبع التسميات اللغة المختارة وتبقى قيم السجلات دون تغيير.,Pending,,
catalog.striped,Striped rows,صفوف مخططة,Pending,,
catalog.bordered,Cell borders,حدود الخلايا,Pending,,
catalog.group.forms,Form Controls,عناصر النماذج,Pending,,
catalog.group.dates,Dates & Calendars,التواريخ والتقويمات,Pending,,
catalog.group.cards,Cards & Data Display,البطاقات وعرض البيانات,Pending,,
catalog.group.tables,Tables,الجداول,Pending,,
catalog.group.navigation,Buttons & Navigation,الأزرار والتنقل,Pending,,
catalog.group.feedback,Feedback & Overlays,التنبيهات والنوافذ,Pending,,
catalog.group.inline,Inline Editing,التحرير المباشر,Pending,,
catalog.group.formPatterns,Form Patterns,أنماط النماذج,Pending,,
catalog.group.dataPatterns,Data Worklists,قوائم البيانات,Pending,,
catalog.group.billing,Billing Workspace,مساحة الفوترة,Pending,,
catalog.group.localization,Localization,الترجمة,Pending,,
catalog.help.forms,"Bind value and onChange to your form state. Required, hint, error and disabled control validation and availability.",اربط value وonChange بحالة النموذج. تضبط required وhint وerror وdisabled التحقق والإتاحة.,Pending,,
catalog.help.dates,Keep ISO date and local time values in state. Apply min/max bounds; choose a timezone in your domain service.,احتفظ بقيم تاريخ ISO والوقت المحلي في الحالة. طبق حدود min/max وحدد المنطقة الزمنية في خدمتك.,Pending,,
catalog.help.cards,"Compose cards, grids, statistics and typed values. Format amounts for the selected locale.",ركّب البطاقات والشبكات والإحصاءات والقيم. نسّق المبالغ حسب اللغة المختارة.,Pending,,
catalog.help.tables,"Use semantic table elements for static, striped, bordered and compact tables. DataTable adds selection, sorting and editing.",استخدم عناصر الجداول الدلالية للجداول الثابتة والمخططة والمحددة والمضغوطة. يضيف DataTable التحديد والفرز والتحرير.,Pending,,
catalog.help.navigation,"Supply callbacks for actions, selected values, tabs and page changes. Icon buttons need accessible labels.",وفر دوال للإجراءات والقيم والتبويبات وتغيير الصفحات. تحتاج أزرار الأيقونات لتسميات واضحة.,Pending,,
catalog.help.feedback,Control overlays with open/onClose. Map failures to useful recovery actions and preserve input during retries.,تحكم بالنوافذ عبر open/onClose. اربط الأخطاء بإجراءات استرداد واحفظ المدخلات أثناء المحاولة.,Pending,,
catalog.help.inline,onCommit may be asynchronous and reject with an error. Validate before saving; limit permitted status transitions.,يمكن أن تكون onCommit غير متزامنة وترفض بخطأ. تحقق قبل الحفظ وحدد انتقالات الحالة.,Pending,,
