key,English,translation,review_status,reviewer,comments
draft.available,A draft is available from {date}.,تتوفر مسودة محفوظة في {date}.,Pending,,
draft.saved,Draft saved: {date}.,تم حفظ المسودة: {date}.,Pending,,
draft.restore,Restore draft,استعادة المسودة,Pending,,
draft.discard,Discard draft,حذف المسودة,Pending,,
draft.outdated,The source changed after this draft. Review the current record or file before restoring. Saving still requires validation and version checks.,تغير المصدر بعد هذه المسودة. راجع السجل أو الملف الحالي قبل الاستعادة. يتطلب الحفظ التحقق من البيانات والإصدار.,Pending,,
draft.incompatible,This draft uses an incompatible format. Discard it and start with the current page.,تنسيق هذه المسودة غير متوافق. احذفها وابدأ من الصفحة الحالية.,Pending,,
draft.reviewed,I reviewed the current source,راجعت المصدر الحالي,Pending,,
draft.excluded,Protected fields were excluded from this draft. Review those fields before saving.,تم استبعاد الحقول المحمية من المسودة. راجعها قبل الحفظ.,Pending,,
draft.disabled,Draft storage is disabled by your tenant administrator. Keep this window open until you save your work.,عطّل مسؤول المؤسسة تخزين المسودات. أبقِ النافذة مفتوحة حتى تحفظ عملك.,Pending,,
draft.loadLatest,Load latest draft settings,تحميل أحدث إعدادات المسودة,Pending,,
draft.policyTitle,Draft recovery policy,سياسة استعادة المسودات,Pending,,
draft.policyHelp,"These rules apply to everyone in this tenant and application. Drafts are stored on the service, not in browser storage. Disabling storage deletes existing drafts. Shorter retention and new exclusions also apply to existing drafts.",تسري القواعد على الجميع في المؤسسة والتطبيق. تُحفظ المسودات في الخدمة وليس في المتصفح. يؤدي تعطيل التخزين إلى حذف المسودات الحالية. تُطبق مدة الاحتفاظ الأقصر والاستبعادات الجديدة عليها أيضاً.,Pending,,
draft.enabled,Store recovery drafts,تخزين مسودات الاستعادة,Pending,,
draft.retention,Retention in days (1–30),مدة الاحتفاظ بالأيام (1–30),Pending,,
draft.exclusions,Excluded field names or paths,أسماء الحقول أو مساراتها المستبعدة,Pending,,
draft.exclusionHelp,"One field per line, for example email, comment or lines.notes. Names match at every depth; dotted paths target nested fields. Exclude comment to disable approval-comment storage.",حقل واحد في كل سطر، مثل email أو comment أو lines.notes. تتطابق الأسماء في جميع المستويات؛ تستهدف المسارات المنقوطة الحقول المتداخلة. استبعد comment لمنع تخزين تعليقات الموافقة.,Pending,,
draft.protected,Always excluded: {fields}.,مستبعدة دائماً: {fields}.,Pending,,
draft.invalidPolicy,Use 1–30 whole days and valid field names or dotted paths (up to 100).,استخدم عدداً صحيحاً من 1 إلى 30 يوماً وأسماء حقول أو مسارات صحيحة (حتى 100).,Pending,,
draft.policySaved,Draft policy saved.,تم حفظ سياسة المسودات.,Pending,,
draft.savePolicy,Save draft policy,حفظ سياسة المسودات,Pending,,
draft.reselectFile,Choose the CSV file again. Restore becomes available when its column headers match the saved mapping. CSV contents are not stored in this draft.,اختر ملف CSV مجدداً. تتاح الاستعادة عند تطابق رؤوس الأعمدة مع التعيين المحفوظ. لا تُخزن محتويات CSV في هذه المسودة.,Pending,,
draft.policyConflict,Draft policy changed. Reload before saving.,تغيرت سياسة المسودات. أعد التحميل قبل الحفظ.,Pending,,
draft.invalidRequest,Invalid draft request.,طلب المسودة غير صالح.,Pending,,
draft.pageDenied,Draft page is not available.,صفحة المسودة غير متاحة.,Pending,,
