english,current_translation,reviewer,status,proposed_translation,notes
Use Customer Master to find and maintain customer records.,ग्राहकों के रिकॉर्ड खोजने और बनाए रखने के लिए ग्राहक मास्टर का उपयोग करें।,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Search for an existing customer before creating another record. Open a row to inspect its details. Use New or Edit only when those actions are available for your role. Complete the required identity and contact fields, review validation messages, then save.","नया रिकॉर्ड बनाने से पहले मौजूदा ग्राहक खोजें। विवरण देखने के लिए पंक्ति खोलें। नया या संपादित करें का उपयोग तभी करें जब आपकी भूमिका को अनुमति हो। आवश्यक पहचान और संपर्क फ़ील्ड भरें, त्रुटियाँ जाँचें और सहेजें।",,Pending,,Documentation content; healthcare paragraphs also require domain review
"After saving, return to the worklist and verify the customer appears with the expected details. If another session changed the record, reload and compare before resubmitting.","सहेजने के बाद सूची में ग्राहक का विवरण जाँचें। यदि किसी अन्य सत्र ने रिकॉर्ड बदला है, तो दोबारा सहेजने से पहले उसे पुनः लोड करके बदलावों की तुलना करें।",,Pending,,Documentation content; healthcare paragraphs also require domain review
Use Patient Master to maintain patient registration details in the Healthcare module.,स्वास्थ्य सेवा मॉड्यूल में रोगी पंजीकरण विवरण रखने के लिए रोगी मास्टर का उपयोग करें।,,Pending,,Documentation content; healthcare paragraphs also require domain review
Search existing patient records before creating a record. Verify identity using your organization’s approved registration procedure. Open the selected record and review the field reference for required registration details.,नया रिकॉर्ड बनाने से पहले मौजूदा रोगी रिकॉर्ड खोजें। अपनी संस्था की स्वीकृत पंजीकरण प्रक्रिया के अनुसार पहचान जाँचें। चुना हुआ रिकॉर्ड खोलें और आवश्यक विवरण के लिए फ़ील्ड संदर्भ देखें।,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Correct displayed validation errors before saving. If you suspect a duplicate, follow your organization’s duplicate-review procedure rather than creating additional records. This guide describes software operation and does not provide clinical advice.","सहेजने से पहले दिख रही त्रुटियाँ ठीक करें। डुप्लिकेट का संदेह होने पर अतिरिक्त रिकॉर्ड बनाने के बजाय संस्था की समीक्षा प्रक्रिया अपनाएँ। यह मार्गदर्शिका सॉफ़्टवेयर संचालन बताती है, चिकित्सकीय सलाह नहीं देती।",,Pending,,Documentation content; healthcare paragraphs also require domain review
"Use Preferences to choose the appearance, language and behavior of your application.","ऐप का रूप, भाषा और व्यवहार चुनने के लिए प्राथमिकताओं का उपयोग करें।",,Pending,,Documentation content; healthcare paragraphs also require domain review
Select a preference group and adjust an available setting. Changes save automatically. Managed settings are enforced by your tenant administrator. Imports and resets cannot override a lock.,समूह चुनकर उपलब्ध सेटिंग बदलें। बदलाव अपने आप सहेजे जाते हैं। प्रबंधित सेटिंग टेनेंट प्रशासक लागू करता है। आयात या रीसेट से लॉक नहीं बदला जा सकता।,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Administrators with preference-management permission can open Preference policies, choose default values and lock settings. Save policy applies the policy to this tenant and application. Unlocking restores saved personal choices.",अनुमति प्राप्त प्रशासक प्राथमिकता नीतियाँ खोलकर डिफ़ॉल्ट मान और लॉक तय कर सकता है। नीति सहेजने पर बदलाव इस टेनेंट और ऐप पर लागू होते हैं। अनलॉक करने पर सहेजे गए व्यक्तिगत विकल्प लौटते हैं।,,Pending,,Documentation content; healthcare paragraphs also require domain review
"Read page guides, published releases, patches and change notices for this application.","इस ऐप की पृष्ठ मार्गदर्शिकाएँ, प्रकाशित रिलीज़, पैच और बदलाव सूचनाएँ पढ़ें।",,Pending,,Documentation content; healthcare paragraphs also require domain review
