key,English,translation,review_status,reviewer,comments
template.library,Page Template Library,പേജ് ടെംപ്ലേറ്റ് ലൈബ്രറി,Pending,,
template.choose,Choose a page for your application,നിങ്ങളുടെ ആപ്ലിക്കേഷനായി പേജ് തിരഞ്ഞെടുക്കുക,Pending,,
template.libraryHelp,"Explore reusable page designs, try layouts, and copy typed configuration and integration examples.","പുനരുപയോഗിക്കാവുന്ന പേജ് രൂപകൽപ്പനകൾ കാണുക, ലേഔട്ടുകൾ പരീക്ഷിക്കുക, ടൈപ്പ് ചെയ്ത ക്രമീകരണവും സംയോജന ഉദാഹരണങ്ങളും പകർത്തുക.",Pending,,
template.templateCount,{count} templates,{count} ടെംപ്ലേറ്റുകൾ,Pending,,
template.matchCount,{count} templates match,{count} ടെംപ്ലേറ്റുകൾ കണ്ടെത്തി,Pending,,
template.backLibrary,All page templates,എല്ലാ പേജ് ടെംപ്ലേറ്റുകളും,Pending,,
template.searchTemplates,Search templates or applications,ടെംപ്ലേറ്റുകളോ ആപ്ലിക്കേഷനുകളോ തിരയുക,Pending,,
template.groupLabel,Template group,ടെംപ്ലേറ്റ് ഗ്രൂപ്പ്,Pending,,
template.all,All,എല്ലാം,Pending,,
template.explore,Open template,ടെംപ്ലേറ്റ് തുറക്കുക,Pending,,
template.preview,Preview,പ്രിവ്യൂ,Pending,,
template.typescript,TypeScript example,TypeScript ഉദാഹരണം,Pending,,
template.configuration,Configuration,ക്രമീകരണം,Pending,,
template.guide,User and integration guide,ഉപയോക്തൃ സംയോജന ഗൈഡ്,Pending,,
template.layout,Preview layout,പ്രിവ്യൂ ലേഔട്ട്,Pending,,
template.scenario,Preview state,പ്രിവ്യൂ നില,Pending,,
template.reset,Reset preview,പ്രിവ്യൂ പുനഃസജ്ജമാക്കുക,Pending,,
template.localDemo,Sample data only. Changes stay in this preview; no application API is called.,സാമ്പിൾ ഡാറ്റ മാത്രം. മാറ്റങ്ങൾ ഈ പ്രിവ്യൂവിൽ നിലനിൽക്കും; ആപ്ലിക്കേഷൻ API വിളിക്കില്ല.,Pending,,
template.codeHelp,"This example uses an in-memory adapter. Replace it with your application's authenticated, version-aware adapter.",ഈ ഉദാഹരണം മെമ്മറി അഡാപ്റ്ററാണ് ഉപയോഗിക്കുന്നത്. നിങ്ങളുടെ ആപ്ലിക്കേഷന്റെ അംഗീകൃതവും പതിപ്പ് പരിശോധിക്കുന്നതുമായ അഡാപ്റ്റർ നൽകുക.,Pending,,
template.source,TypeScript source / configuration,TypeScript സോഴ്‌സ് / ക്രമീകരണം,Pending,,
template.purpose,Purpose,ഉദ്ദേശ്യം,Pending,,
template.components,Shared components,പങ്കിട്ട ഘടകങ്ങൾ,Pending,,
template.preferences,Preferences,മുൻഗണനകൾ,Pending,,
template.integration,Application integration,ആപ്ലിക്കേഷൻ സംയോജനം,Pending,,
template.scope,Data scope,ഡാറ്റാ പരിധി,Pending,,
template.domainRules,Domain rules,ഡൊമെയ്ൻ നിയമങ്ങൾ,Pending,,
